05.59.54.260148,1,login,
05.59.58.497150,1,words ,1,
05.59.58.698544,1,words ,1,
05.59.58.904438,1,words ,1,
05.59.59.076115,1,words ,1,
05.59.59.272529,1,words ,1,
05.59.59.400898,1,words ,1,
05.59.59.572330,1,words ,1,
05.59.59.749809,1,words ,1,
06.00.00.058692,1,words ,1,
06.00.00.233407,1,words ,1,
06.00.00.402432,1,words ,1,
06.00.00.608057,1,words ,2,
06.00.00.809298,1,words ,2,
06.00.00.965344,1,words ,2,
06.00.01.358009,1,words ,2,
06.00.01.529626,1,words ,2,
06.00.01.779452,1,words ,2,
06.00.01.966513,1,words ,2,
06.00.02.138104,1,words ,2,
06.00.02.308398,1,words ,2,
06.00.02.495983,1,words ,2,
06.00.02.652697,1,words ,2,
06.00.02.841103,1,words ,2,
06.00.03.027869,1,words ,2,
06.00.03.232196,1,words ,2,
06.00.03.404424,1,words ,2,
06.00.03.592361,1,words ,2,
06.00.03.746048,1,words ,2,
06.00.03.918445,1,words ,1,
06.00.04.107494,1,words ,1,
06.00.04.311734,1,words ,1,
06.00.04.502688,1,words ,1,
06.00.04.698248,1,words ,1,
06.00.04.902791,1,words ,1,
06.00.05.105328,1,words ,1,
06.00.05.293973,1,words ,1,
06.00.05.495895,1,words ,1,
06.00.05.684080,1,words ,1,
06.00.05.886586,1,words ,1,
06.00.06.077171,1,words ,1,
06.00.06.233079,1,words ,1,
06.00.06.417489,1,words ,1,
06.00.06.637563,1,words ,2,
06.00.06.807773,1,words ,2,
06.00.06.980402,1,words ,2,
06.00.07.167994,1,words ,2,
06.00.07.321540,1,words ,2,
06.00.07.481133,1,words ,2,
06.00.07.778440,1,words ,2,
06.00.07.978972,1,words ,2,
06.00.08.167290,1,words ,2,
06.00.08.358819,1,words ,2,
06.00.08.564560,1,words ,2,
06.00.08.750173,1,words ,2,
06.00.08.938242,1,words ,2,
06.00.09.128102,1,words ,2,
06.00.09.324180,1,words,2,
06.00.09.513996,1,words,2,
06.00.09.689061,1,words,2,
06.00.09.872221,1,words,2,
06.00.10.042676,1,words,2,
06.00.10.199723,1,words,2,
06.00.10.528282,1,words,1,
06.00.10.714915,1,words,1,
06.00.10.904012,1,words,1,
06.00.11.091160,1,words,1,
06.00.11.251369,1,words,1,
06.00.11.439363,1,words,1,
06.00.11.627184,1,words,1,
06.00.11.808710,1,words,1,
06.00.11.979653,1,words,2,
06.00.12.188999,1,words,2,
06.00.12.376311,1,words,2,
06.00.12.544015,1,words,2,
06.00.12.917563,1,words,2,
06.00.13.091047,1,words,2,
