05.59.54.253125 1 login 
05.59.58.493090 1 words 1 
05.59.58.694533 1 words 1 
05.59.58.899437 1 words 1 
05.59.59.071106 1 words 1 
05.59.59.266514 1 words 1 
05.59.59.396860 1 words 1 
05.59.59.569319 1 words 1 
05.59.59.745798 1 words 1 
06.00.00.054693 1 words 1 
06.00.00.229397 1 words 1 
06.00.00.399424 1 words 1 
06.00.00.604034 1 words 2 
06.00.00.805287 1 words 2 
06.00.00.961318 1 words 2 
06.00.01.353996 1 words 2 
06.00.01.524559 1 words 2 
06.00.01.775445 1 words 2 
06.00.01.962465 1 words 2 
06.00.02.134099 1 words 2 
06.00.02.305389 1 words 2 
06.00.02.491973 1 words 2 
06.00.02.649697 1 words 2 
06.00.02.837126 1 words 2 
06.00.03.024828 1 words 2 
06.00.03.227182 1 words 2 
06.00.03.399384 1 words 2 
06.00.03.587348 1 words 2 
06.00.03.742045 1 words 2 
06.00.03.914445 1 words 1 
06.00.04.103485 1 words 1 
06.00.04.307723 1 words 1 
06.00.04.498677 1 words 1 
06.00.04.695240 1 words 1 
06.00.04.898779 1 words 1 
06.00.05.101317 1 words 1 
06.00.05.290927 1 words 1 
06.00.05.491853 1 words 1 
06.00.05.680071 1 words 1 
06.00.05.882574 1 words 1 
06.00.06.072167 1 words 1 
06.00.06.229055 1 words 1 
06.00.06.413465 1 words 1 
06.00.06.633552 1 words 2 
06.00.06.803761 1 words 2 
06.00.06.976392 1 words 2 
06.00.07.164969 1 words 2 
06.00.07.317526 1 words 2 
06.00.07.477111 1 words 2 
06.00.07.774428 1 words 2 
06.00.07.974970 1 words 2 
06.00.08.164282 1 words 2 
06.00.08.353808 1 words 2 
06.00.08.560549 1 words 2 
06.00.08.747173 1 words 2 
06.00.08.934231 1 words 2 
06.00.09.124092 1 words 2 
06.00.09.320169 1 words 2 
06.00.09.509959 1 words 2 
06.00.09.686020 1 words 2 
06.00.09.868207 1 words 2 
06.00.10.038675 1 words 2 
06.00.10.193713 1 words 2 
06.00.10.524270 1 words 1 
06.00.10.710896 1 words 1 
06.00.10.900002 1 words 1 
06.00.11.087131 1 words 1 
06.00.11.247357 1 words 1 
06.00.11.435387 1 words 1 
06.00.11.623145 1 words 1 
06.00.11.804708 1 words 1 
06.00.11.975652 1 words 2 
06.00.12.184988 1 words 2 
06.00.12.372279 1 words 2 
06.00.12.539003 1 words 2 
06.00.12.914554 1 words 2 
06.00.13.087035 1 words 2 
06.00.13.272925 1 words 2 
06.00.13.498038 1 words 2 
06.00.13.685082 1 words 2 
06.00.13.867955 1 words 2 
06.00.14.060326 1 words 2 
06.00.14.245872 1 words 2 
06.00.14.435885 1 words 2 
06.00.14.586155 1 words 2 
06.00.14.748137 1 words 2 
06.00.18.309449 1 words 1 
06.00.18.507345 1 words 1 
06.00.18.686337 1 words 1 
06.00.18.836380 1 words 1 
06.00.19.008791 1 words 1 
06.00.19.244452 1 words 2 
06.00.19.415567 1 words 2 
06.00.19.602318 1 words 2 
06.00.19.742574 1 words 2 
06.00.19.900631 1 words 2 
06.00.20.060495 1 words 2 
06.00.20.226767 1 words 2 
06.00.20.372183 1 words 2 
06.00.20.538639 1 words 2 
06.00.20.710064 1 words 2 
06.00.20.897545 1 words 2 
06.00.21.070873 1 words 2 
06.00.21.243447 1 words 2 
06.00.21.461427 1 words 1 
06.00.21.650174 1 words 1 
06.00.21.872017 1 words 1 
06.00.22.059064 1 words 1 
06.00.22.246923 1 words 1 
06.00.22.434195 1 words 1 
06.00.22.649574 1 words 2 
06.00.22.836745 1 words 2 
06.00.23.023853 1 words 2 
06.00.23.185334 1 words 2 
06.00.23.397762 1 words 2 
06.00.23.585250 1 words 2 
06.00.23.788610 1 words 2 
06.00.23.975735 1 words 2 
06.00.24.184470 1 words 2 
06.00.24.350582 1 words 2 
06.00.24.523343 1 words 2 
06.00.24.710026 1 words 2 
06.00.24.899306 1 words 2 
06.00.25.085392 1 words 2 
06.00.25.310216 1 words 2 
06.00.25.539537 1 words 2 
06.00.25.742728 1 words 2 
06.00.25.946269 1 words 2 
06.00.26.117060 1 words 2 
06.00.26.382827 1 words 1 
06.00.26.586894 1 words 1 
06.00.26.773436 1 words 1 
06.00.26.979147 1 words 1 
06.00.27.211768 1 words 1 
06.00.27.415524 1 words 1 
06.00.27.631973 1 words 1 
06.00.27.821407 1 words 1 
06.00.28.040117 1 words 1 
06.00.28.247986 1 words 1 
06.00.28.477481 1 words 2 
06.00.28.685331 1 words 2 
06.00.28.873584 1 words 2 
06.00.29.060019 1 words 2 
06.00.29.246575 1 words 2 
06.00.29.435298 1 words 2 
06.00.29.634573 1 words 2 
06.00.29.835392 1 words 2 
06.00.30.007720 1 words 2 
06.00.30.275241 1 words 2 
06.00.30.495949 1 words 2 
06.00.30.726924 1 words 2 
06.00.30.961657 1 words 2 
06.00.31.164509 1 words 2 
06.00.31.350778 1 words 2 
06.00.31.554352 1 words 1 
06.00.31.805855 1 words 1 
06.00.32.023425 1 words 1 
06.00.32.211157 1 words 1 
06.00.32.446541 1 words 1 
06.00.32.665033 1 words 1 
06.00.32.868805 1 words 1 
06.00.33.070168 1 words 1 
06.00.33.227480 1 words 2 
06.00.33.445928 1 words 2 
06.00.33.633907 1 words 2 
06.00.33.821783 1 words 2 
06.00.33.992276 1 words 2 
06.00.34.195909 1 words 2 
06.00.34.398402 1 words 2 
06.00.34.602565 1 words 2 
06.00.34.811137 1 words 2 
06.00.35.024687 1 words 2 
06.00.35.247092 1 words 2 
06.00.35.445618 1 words 2 
06.00.35.649786 1 words 2 
