05.43.11.787526,189,login,
05.43.18.668618,189,words ,2,
05.43.19.455103,189,words ,2,
05.43.20.621411,189,words ,1,
05.43.21.558666,189,words ,2,
05.43.22.308731,189,words ,1,
05.43.23.015406,189,words ,1,
05.43.23.636335,189,words ,1,
05.43.24.276744,189,words ,2,
05.43.25.966521,189,words ,2,
05.43.26.340788,189,words ,1,
05.43.26.670228,189,words ,2,
05.43.27.075620,189,words ,1,
05.43.27.385622,189,words ,2,
05.43.27.809438,189,words ,2,
05.43.28.153174,189,words ,1,
05.43.28.494915,189,words ,1,
05.43.28.838991,189,words ,2,
05.43.29.215312,189,words ,2,
05.43.29.588801,189,words ,1,
05.43.29.917628,189,words ,2,
05.43.30.329769,189,words ,1,
05.43.30.637272,189,words ,2,
05.43.31.025740,189,words ,1,
05.43.31.372919,189,words ,2,
05.43.32.082248,189,words ,1,
05.43.32.402245,189,words ,1,
05.43.32.746154,189,words ,2,
05.43.33.152784,189,words ,2,
05.43.33.515163,189,words ,1,
05.43.33.824042,189,words ,2,
05.43.34.184001,189,words ,1,
05.43.34.515881,189,words ,2,
05.43.34.950051,189,words ,2,
05.43.35.370283,189,words ,1,
05.43.35.731729,189,words ,2,
05.43.36.057897,189,words ,1,
05.43.36.418660,189,words ,2,
05.43.36.778329,189,words ,1,
05.43.37.152967,189,words ,2,
05.43.37.512828,189,words ,2,
05.43.37.855618,189,words ,1,
05.43.38.200046,189,words ,2,
05.43.38.542987,189,words ,1,
05.43.38.870797,189,words ,2,
05.43.39.185312,189,words ,1,
05.43.39.558371,189,words ,2,
05.43.39.871746,189,words ,1,
05.43.40.230006,189,words ,2,
05.43.40.576260,189,words ,1,
05.43.40.979882,189,words ,2,
05.43.41.265034,189,words ,1,
05.43.41.644299,189,words ,2,
05.43.42.016098,189,words ,1,
05.43.42.341456,189,words ,2,
05.43.42.714810,189,words ,2,
05.43.43.089868,189,words ,1,
05.43.43.433381,189,words,2,
05.43.43.794619,189,words,1,
05.43.44.153191,189,words,2,
05.43.44.510320,189,words,2,
05.43.44.869975,189,words,1,
05.43.45.215775,189,words,2,
05.43.45.560098,189,words,1,
05.43.45.917272,189,words,2,
05.43.46.339116,189,words,1,
05.43.46.621246,189,words,2,
05.43.47.015720,189,words,2,
05.43.47.356665,189,words,1,
05.43.47.683429,189,words,2,
05.43.48.014954,189,words,1,
05.43.48.215523,189,words,2,
05.43.48.416755,189,words,1,
05.43.48.780234,189,words,2,
05.43.49.105314,189,words,1,
05.43.49.417222,189,words,2,
05.43.49.779252,189,words,1,
05.43.50.153329,189,words,2,
05.43.50.527876,189,words,1,
05.43.50.840367,189,words,2,
05.43.51.061348,189,words,2,
05.43.51.229827,189,words,2,
05.43.51.589278,189,words,1,
05.43.51.932036,189,words,2,
05.43.52.294504,189,words,1,
05.43.52.652593,189,words,2,
05.43.53.167771,189,words,1,
05.43.53.529974,189,words,2,
05.43.53.917352,189,words,2,
05.43.54.262034,189,words,1,
05.43.54.636564,189,words,1,
05.43.55.012962,189,words,2,
05.43.55.355411,189,words,2,
05.43.55.746459,189,words,2,
05.43.56.080918,189,words,1,
05.43.56.466823,189,words,1,
05.43.56.810276,189,words,2,
05.43.57.167785,189,words,2,
