05.43.11.782529 189 login 
05.43.18.664105 189 words 2 
05.43.19.450089 189 words 2 
05.43.20.617399 189 words 1 
05.43.21.553611 189 words 2 
05.43.22.304722 189 words 1 
05.43.23.010410 189 words 1 
05.43.23.632336 189 words 1 
05.43.24.272722 189 words 2 
05.43.25.961507 189 words 2 
05.43.26.336757 189 words 1 
05.43.26.665224 189 words 2 
05.43.27.071589 189 words 1 
05.43.27.382581 189 words 2 
05.43.27.805418 189 words 2 
05.43.28.149163 189 words 1 
05.43.28.490869 189 words 1 
05.43.28.834981 189 words 2 
05.43.29.211299 189 words 2 
05.43.29.584764 189 words 1 
05.43.29.913589 189 words 2 
05.43.30.325760 189 words 1 
05.43.30.632259 189 words 2 
05.43.31.021721 189 words 1 
05.43.31.367894 189 words 2 
05.43.32.078238 189 words 1 
05.43.32.398242 189 words 1 
05.43.32.742140 189 words 2 
05.43.33.148765 189 words 2 
05.43.33.511159 189 words 1 
05.43.33.820033 189 words 2 
05.43.34.177985 189 words 1 
05.43.34.510868 189 words 2 
05.43.34.946045 189 words 2 
05.43.35.367239 189 words 1 
05.43.35.727708 189 words 2 
05.43.36.054852 189 words 1 
05.43.36.414649 189 words 2 
05.43.36.773316 189 words 1 
05.43.37.148936 189 words 2 
05.43.37.508800 189 words 2 
05.43.37.851604 189 words 1 
05.43.38.196016 189 words 2 
05.43.38.538977 189 words 1 
05.43.38.866747 189 words 2 
05.43.39.181301 189 words 1 
05.43.39.554361 189 words 2 
05.43.39.866733 189 words 1 
05.43.40.225995 189 words 2 
05.43.40.572250 189 words 1 
05.43.40.974859 189 words 2 
05.43.41.260025 189 words 1 
05.43.41.640254 189 words 2 
05.43.42.013051 189 words 1 
05.43.42.336444 189 words 2 
05.43.42.710799 189 words 2 
05.43.43.085856 189 words 1 
05.43.43.429349 189 words 2 
05.43.43.789598 189 words 1 
05.43.44.149163 189 words 2 
05.43.44.506299 189 words 2 
05.43.44.865963 189 words 1 
05.43.45.211753 189 words 2 
05.43.45.556086 189 words 1 
05.43.45.913233 189 words 2 
05.43.46.334101 189 words 1 
05.43.46.617233 189 words 2 
05.43.47.011669 189 words 2 
05.43.47.352684 189 words 1 
05.43.47.679440 189 words 2 
05.43.48.010905 189 words 1 
05.43.48.211474 189 words 2 
05.43.48.412756 189 words 1 
05.43.48.774220 189 words 2 
05.43.49.101304 189 words 1 
05.43.49.413171 189 words 2 
