02.19.50.706441,PL109,login,
02.49.46.602289,PL109,login,
02.49.55.219850,PL109,words ,1,
02.49.55.740060,PL109,words ,1,
02.49.55.782982,PL109,words ,1,
02.49.55.814791,PL109,words ,1,
02.49.55.864025,PL109,words ,1,
02.49.55.893256,PL109,words ,1,
02.49.55.928498,PL109,words ,1,
02.49.55.971747,PL109,words ,1,
02.49.56.001826,PL109,words ,1,
02.49.56.056054,PL109,words ,1,
02.49.56.080650,PL109,words ,1,
02.49.56.117729,PL109,words ,1,
02.49.56.159609,PL109,words ,1,
02.49.56.189785,PL109,words ,1,
02.49.56.243426,PL109,words ,1,
02.49.56.267952,PL109,words ,1,
02.49.56.304505,PL109,words ,1,
02.49.56.347111,PL109,words ,1,
02.49.56.378251,PL109,words ,1,
02.49.56.410553,PL109,words ,1,
02.49.56.455080,PL109,words ,1,
02.49.56.491204,PL109,words ,1,
02.49.56.532148,PL109,words ,1,
02.49.56.566017,PL109,words ,1,
02.49.56.596262,PL109,words ,1,
02.49.56.643838,PL109,words ,1,
02.49.56.673896,PL109,words ,1,
02.49.56.721016,PL109,words ,1,
02.49.56.751945,PL109,words ,1,
02.49.56.786404,PL109,words ,1,
02.49.56.829929,PL109,words ,1,
02.49.56.867290,PL109,words ,1,
02.49.56.894364,PL109,words ,1,
02.49.56.940665,PL109,words ,1,
02.49.56.971927,PL109,words ,1,
02.49.57.020679,PL109,words ,1,
02.49.57.054678,PL109,words ,1,
02.49.57.079975,PL109,words ,1,
02.49.57.116299,PL109,words ,1,
02.49.57.160728,PL109,words ,1,
02.49.57.192002,PL109,words ,1,
02.49.57.240017,PL109,words ,1,
02.49.57.267474,PL109,words ,1,
02.49.57.304161,PL109,words ,1,
02.49.57.345909,PL109,words ,1,
02.49.57.379180,PL109,words ,1,
02.49.57.427142,PL109,words ,1,
02.49.57.455745,PL109,words ,1,
02.49.57.490953,PL109,words ,1,
02.49.57.533271,PL109,words ,1,
02.49.57.564950,PL109,words ,1,
02.49.57.617461,PL109,words ,1,
02.49.57.643276,PL109,words ,1,
02.49.57.678123,PL109,words ,1,
02.49.57.721354,PL109,words ,1,
02.49.57.753681,PL109,words ,1,
02.49.57.805235,PL109,words,1,
02.49.57.832769,PL109,words,1,
02.49.57.865559,PL109,words,1,
02.49.57.908879,PL109,words,1,
02.49.57.940683,PL109,words,1,
02.49.57.972772,PL109,words,1,
02.49.58.020977,PL109,words,1,
02.49.58.054566,PL109,words,1,
02.49.58.082209,PL109,words,1,
02.49.58.126839,PL109,words,1,
02.49.58.161106,PL109,words,1,
02.49.58.204775,PL109,words,1,
02.49.58.242018,PL109,words,1,
02.49.58.283824,PL109,words,1,
02.49.58.315557,PL109,words,1,
02.49.58.346031,PL109,words,1,
02.49.58.394851,PL109,words,1,
02.49.58.426324,PL109,words,1,
02.49.58.456799,PL109,words,1,
02.49.58.492708,PL109,words,1,
02.49.58.534474,PL109,words,1,
02.49.58.581457,PL109,words,1,
02.49.58.615760,PL109,words,1,
02.49.58.644049,PL109,words,1,
02.49.58.691205,PL109,words,1,
02.49.58.720728,PL109,words,1,
02.49.58.753405,PL109,words,1,
02.49.58.805687,PL109,words,1,
02.49.58.830498,PL109,words,1,
02.49.58.865710,PL109,words,1,
02.49.58.910380,PL109,words,1,
02.49.58.940826,PL109,words,1,
02.49.58.989602,PL109,words,1,
02.49.59.019122,PL109,words,1,
02.49.59.055176,PL109,words,1,
02.49.59.095282,PL109,words,1,
02.49.59.128030,PL109,words,1,
02.49.59.180128,PL109,words,1,
02.49.59.205365,PL109,words,1,
02.49.59.243486,PL109,words,1,
02.49.59.282735,PL109,words,1,
02.49.59.314282,PL109,words,1,
02.49.59.346688,PL109,words,1,
02.49.59.393603,PL109,words,1,
02.49.59.427987,PL109,words,1,
02.49.59.472190,PL109,words,1,
02.49.59.504083,PL109,words,1,
02.49.59.533564,PL109,words,1,
02.49.59.581375,PL109,words,1,
02.49.59.617023,PL109,words,1,
02.49.59.643529,PL109,words,1,
02.49.59.689305,PL109,words,1,
02.49.59.721569,PL109,words,1,
02.49.59.770565,PL109,words,1,
02.49.59.805614,PL109,words,1,
02.49.59.831887,PL109,words,1,
02.49.59.878491,PL109,words,1,
02.49.59.909584,PL109,words,1,
02.49.59.954872,PL109,words,1,
02.49.59.988948,PL109,words,1,
02.50.00.020270,PL109,words,1,
02.50.00.053389,PL109,words,1,
02.50.00.098396,PL109,words,1,
02.50.00.128292,PL109,words,1,
02.50.00.180768,PL109,words,1,
02.50.00.208401,PL109,words,1,
02.50.00.241485,PL109,words,1,
02.50.00.284988,PL109,words,1,
02.50.00.314091,PL109,words,1,
02.50.00.367842,PL109,words,1,
02.50.00.395352,PL109,words,1,
02.50.00.428976,PL109,words,1,
02.50.00.473023,PL109,words,1,
02.50.00.504287,PL109,words,1,
02.50.00.555030,PL109,words,1,
02.50.00.580669,PL109,words,1,
02.50.00.617866,PL109,words,1,
02.50.00.660798,PL109,words,1,
02.50.00.690712,PL109,words,1,
02.50.00.739119,PL109,words,1,
02.50.00.772009,PL109,words,1,
02.50.00.799770,PL109,words,1,
02.50.00.847120,PL109,words,1,
02.50.00.877998,PL109,words,1,
02.50.00.911160,PL109,words,1,
02.50.00.958542,PL109,words,1,
02.50.00.991655,PL109,words,1,
02.50.01.033438,PL109,words,1,
02.50.01.066711,PL109,words,1,
02.50.01.096790,PL109,words,1,
02.50.01.143564,PL109,words,1,
02.50.01.174445,PL109,words,1,
02.50.01.206970,PL109,words,1,
02.50.01.251732,PL109,words,1,
02.50.01.283434,PL109,words,1,
02.50.01.330747,PL109,words,1,
02.50.01.367008,PL109,words,1,
02.50.01.394080,PL109,words,1,
02.50.01.440940,PL109,words,1,
02.50.01.471911,PL109,words,1,
02.50.01.504779,PL109,words,1,
02.50.01.555315,PL109,words,1,
02.50.01.579780,PL109,words,1,
02.50.01.628001,PL109,words,1,
02.50.01.660238,PL109,words,1,
02.50.01.690399,PL109,words,1,
02.50.01.741792,PL109,words,1,
02.50.01.767201,PL109,words,1,
02.50.01.805025,PL109,words,1,
02.50.01.848191,PL109,words,1,
02.50.01.879153,PL109,words,1,
