11.07.58.779860,PL15,login,
11.08.16.130830,PL15,words ,1,
11.08.16.862050,PL15,words ,1,
11.08.18.379300,PL15,words ,2,
11.08.19.179959,PL15,words ,1,
11.08.19.819657,PL15,words ,2,
11.08.20.536383,PL15,words ,2,
11.08.22.347025,PL15,words ,2,
11.08.22.944251,PL15,words ,2,
11.08.23.894372,PL15,words ,2,
11.08.24.680456,PL15,words ,1,
11.08.24.879221,PL15,words ,2,
11.08.25.098929,PL15,words ,1,
11.08.25.241694,PL15,words ,2,
11.08.25.473386,PL15,words ,1,
11.08.25.567326,PL15,words ,2,
11.08.25.754913,PL15,words ,1,
11.08.25.861746,PL15,words ,2,
11.08.26.004570,PL15,words ,1,
11.08.26.115662,PL15,words ,2,
11.08.26.275861,PL15,words ,1,
11.08.26.426490,PL15,words ,2,
11.08.26.613654,PL15,words ,1,
11.08.26.743412,PL15,words ,2,
11.08.26.960918,PL15,words ,1,
11.08.27.099855,PL15,words ,2,
11.08.27.316802,PL15,words ,1,
11.08.27.431404,PL15,words ,2,
11.08.27.662441,PL15,words ,1,
11.08.27.805789,PL15,words ,2,
11.08.28.097858,PL15,words ,2,
11.08.28.315961,PL15,words ,1,
11.08.28.461887,PL15,words ,2,
11.08.28.676486,PL15,words ,1,
11.08.28.880608,PL15,words ,2,
11.08.29.101542,PL15,words ,1,
11.08.29.254456,PL15,words ,2,
11.08.29.460780,PL15,words ,1,
11.08.29.628915,PL15,words ,2,
11.08.29.847944,PL15,words ,1,
11.08.29.963250,PL15,words ,2,
11.08.30.146988,PL15,words ,1,
11.08.30.271224,PL15,words ,2,
11.08.30.493196,PL15,words ,1,
11.08.30.629565,PL15,words ,2,
11.08.30.881978,PL15,words ,1,
11.08.30.992659,PL15,words ,2,
11.08.31.243319,PL15,words ,1,
11.08.31.367747,PL15,words ,2,
11.08.31.582551,PL15,words ,1,
11.08.31.742795,PL15,words ,2,
11.08.31.942252,PL15,words ,1,
11.08.32.087512,PL15,words ,2,
11.08.32.366410,PL15,words ,1,
11.08.32.519673,PL15,words ,2,
11.08.32.722662,PL15,words ,1,
11.08.32.849280,PL15,words ,2,
11.08.33.097682,PL15,words,1,
11.08.33.222987,PL15,words,2,
11.08.33.551329,PL15,words,1,
11.08.33.738850,PL15,words,2,
11.08.33.880786,PL15,words,1,
11.08.34.021900,PL15,words,2,
11.08.34.206735,PL15,words,1,
11.08.34.348045,PL15,words,2,
11.08.34.581811,PL15,words,1,
11.08.34.770390,PL15,words,2,
11.08.34.972911,PL15,words,1,
11.08.35.119605,PL15,words,2,
11.08.35.304066,PL15,words,1,
11.08.35.410670,PL15,words,2,
11.08.35.680849,PL15,words,1,
11.08.35.785909,PL15,words,2,
11.08.36.024784,PL15,words,1,
11.08.36.161992,PL15,words,2,
11.08.36.472635,PL15,words,1,
11.08.36.661003,PL15,words,2,
11.08.36.863719,PL15,words,1,
11.08.37.034656,PL15,words,2,
11.08.37.367746,PL15,words,1,
11.08.37.505289,PL15,words,2,
11.08.37.742587,PL15,words,1,
11.08.37.897547,PL15,words,2,
11.08.38.145160,PL15,words,1,
11.08.38.317354,PL15,words,2,
11.08.38.598637,PL15,words,1,
11.08.38.742880,PL15,words,2,
11.08.38.961157,PL15,words,1,
11.08.39.144877,PL15,words,2,
11.08.39.348520,PL15,words,1,
11.08.39.504506,PL15,words,2,
11.08.39.711704,PL15,words,1,
11.08.39.848046,PL15,words,2,
11.08.40.285799,PL15,words,1,
11.08.40.442608,PL15,words,2,
11.08.40.675831,PL15,words,1,
11.08.40.863028,PL15,words,2,
11.08.41.145067,PL15,words,1,
11.08.41.334003,PL15,words,2,
11.08.41.597773,PL15,words,1,
11.08.41.787218,PL15,words,2,
11.08.42.148743,PL15,words,1,
11.08.42.285190,PL15,words,2,
11.08.42.711821,PL15,words,1,
11.08.42.880366,PL15,words,2,
11.08.43.302946,PL15,words,1,
11.08.43.461466,PL15,words,2,
11.08.43.900144,PL15,words,1,
11.08.45.316182,PL15,words,2,
11.08.45.898658,PL15,words,2,
11.08.48.177716,PL15,words,1,
11.08.49.273726,PL15,words,1,
11.08.51.161140,PL15,words,2,
11.08.52.005694,PL15,words,2,
11.08.52.555111,PL15,words,2,
11.08.53.490522,PL15,words,2,
11.08.54.211176,PL15,words,1,
11.08.54.551086,PL15,words,2,
11.08.55.005028,PL15,words,1,
11.08.55.331853,PL15,words,2,
11.08.55.712445,PL15,words,1,
11.08.56.068378,PL15,words,2,
11.08.56.693147,PL15,words,1,
11.08.57.005055,PL15,words,2,
11.08.57.442482,PL15,words,1,
11.08.57.692480,PL15,words,2,
11.08.58.113979,PL15,words,1,
11.08.58.369081,PL15,words,2,
11.08.58.785503,PL15,words,1,
11.08.59.038270,PL15,words,2,
11.08.59.427772,PL15,words,1,
11.08.59.660942,PL15,words,2,
11.09.00.027898,PL15,words,1,
11.09.05.286190,PL15,words,2,
11.09.05.772673,PL15,words,1,
11.09.05.910758,PL15,words,2,
11.09.06.082658,PL15,words,1,
11.09.06.242915,PL15,words,2,
11.09.06.505078,PL15,words,1,
11.09.06.676860,PL15,words,2,
11.09.06.941534,PL15,words,1,
11.09.07.097747,PL15,words,2,
11.09.07.334174,PL15,words,1,
11.09.07.489631,PL15,words,2,
11.09.07.755090,PL15,words,1,
11.09.07.911444,PL15,words,2,
11.09.08.223367,PL15,words,1,
11.09.08.382227,PL15,words,2,
11.09.08.693262,PL15,words,1,
11.09.08.848052,PL15,words,2,
11.09.09.192535,PL15,words,1,
11.09.09.348329,PL15,words,2,
11.09.09.662809,PL15,words,1,
11.09.09.832363,PL15,words,2,
11.09.10.208004,PL15,words,1,
11.09.10.382382,PL15,words,2,
11.09.10.693283,PL15,words,1,
11.09.10.847452,PL15,words,2,
11.09.11.193265,PL15,words,1,
11.09.11.369356,PL15,words,2,
11.09.11.630704,PL15,words,1,
11.09.11.801140,PL15,words,2,
11.09.12.150792,PL15,words,1,
11.09.12.337991,PL15,words,2,
11.09.12.648411,PL15,words,1,
11.09.12.756002,PL15,words,2,
11.09.13.069437,PL15,words,1,
11.09.13.222071,PL15,words,2,
11.09.13.524036,PL15,words,1,
11.09.13.647757,PL15,words,2,
11.09.14.086380,PL15,words,1,
11.09.14.239865,PL15,words,2,
11.09.14.599653,PL15,words,1,
11.09.14.707942,PL15,words,2,
11.09.15.055600,PL15,words,1,
11.09.15.192952,PL15,words,2,
11.09.15.566976,PL15,words,1,
11.09.15.712593,PL15,words,2,
11.09.15.991708,PL15,words,1,
11.09.16.161179,PL15,words,2,
11.09.16.463093,PL15,words,1,
11.09.16.618665,PL15,words,2,
11.09.16.881030,PL15,words,1,
11.09.17.051524,PL15,words,2,
11.09.17.333207,PL15,words,1,
11.09.17.974527,PL15,words,2,
11.09.18.397673,PL15,words,1,
11.09.18.585735,PL15,words,2,
11.09.18.818007,PL15,words,1,
11.09.19.084145,PL15,words,2,
11.09.19.336618,PL15,words,1,
11.09.19.616083,PL15,words,2,
11.09.19.901847,PL15,words,1,
11.09.20.088462,PL15,words,2,
11.09.20.460067,PL15,words,1,
11.09.20.650464,PL15,words,2,
11.09.21.129547,PL15,words,1,
11.09.21.271881,PL15,words,2,
11.09.21.631165,PL15,words,1,
11.09.22.021576,PL15,words,2,
11.09.22.414654,PL15,words,1,
11.09.22.603864,PL15,words,2,
11.09.22.959021,PL15,words,1,
11.09.23.131533,PL15,words,2,
11.09.23.489471,PL15,words,1,
11.09.23.677618,PL15,words,2,
11.09.23.978822,PL15,words,1,
11.09.24.176876,PL15,words,2,
11.09.24.478447,PL15,words,1,
11.09.24.694453,PL15,words,2,
11.09.25.131495,PL15,words,1,
11.09.25.317864,PL15,words,2,
11.09.25.646077,PL15,words,1,
11.09.25.853369,PL15,words,2,
11.09.26.069113,PL15,words,1,
11.09.26.272621,PL15,words,2,
11.09.26.540738,PL15,words,1,
11.09.26.709945,PL15,words,2,
11.09.26.989363,PL15,words,1,
11.09.27.164684,PL15,words,2,
11.09.27.459866,PL15,words,1,
11.09.27.664161,PL15,words,2,
11.09.27.916151,PL15,words,1,
11.09.28.083372,PL15,words,2,
11.09.28.333118,PL15,words,1,
11.09.28.551475,PL15,words,2,
11.09.28.881074,PL15,words,1,
11.09.29.068080,PL15,words,2,
11.09.29.302820,PL15,words,1,
11.09.29.506441,PL15,words,2,
11.09.29.821531,PL15,words,1,
11.09.30.023166,PL15,words,2,
11.09.30.317290,PL15,words,1,
11.09.30.540086,PL15,words,2,
11.09.30.849307,PL15,words,1,
11.09.31.019941,PL15,words,2,
11.09.31.289760,PL15,words,1,
11.09.31.414896,PL15,words,2,
11.09.31.681231,PL15,words,1,
11.09.31.927779,PL15,words,2,
11.09.32.380170,PL15,words,1,
11.09.32.539081,PL15,words,2,
11.09.32.816984,PL15,words,1,
11.09.32.942477,PL15,words,2,
11.09.33.254601,PL15,words,1,
11.09.33.457283,PL15,words,2,
11.09.33.755875,PL15,words,1,
11.09.33.959415,PL15,words,2,
11.09.34.239106,PL15,words,1,
11.09.34.441390,PL15,words,2,
11.09.34.665187,PL15,words,1,
11.09.34.880579,PL15,words,2,
11.09.35.284943,PL15,words,1,
11.09.35.491204,PL15,words,2,
11.09.35.848324,PL15,words,1,
11.09.36.067583,PL15,words,2,
11.09.36.473539,PL15,words,1,
11.09.36.645895,PL15,words,2,
11.09.37.132151,PL15,words,1,
11.09.37.289851,PL15,words,2,
11.09.37.632192,PL15,words,1,
11.09.37.788965,PL15,words,2,
11.09.38.085054,PL15,words,1,
11.09.38.240429,PL15,words,2,
11.09.38.539620,PL15,words,1,
11.09.38.676684,PL15,words,2,
11.09.38.895468,PL15,words,1,
11.09.39.054019,PL15,words,2,
11.09.39.353435,PL15,words,1,
11.09.39.504836,PL15,words,2,
11.09.39.706928,PL15,words,1,
