02.39.30.336950,PL18,login,
10.01.32.297119,PL18,login,
12.01.39.786041,PL18,login,
12.01.53.764592,PL18,words ,1,
12.01.54.272996,PL18,words ,1,
12.01.54.325838,PL18,words ,1,
12.01.54.351103,PL18,words ,1,
12.01.54.390195,PL18,words ,1,
12.01.54.429488,PL18,words ,1,
12.01.54.461575,PL18,words ,1,
12.01.54.513506,PL18,words ,1,
12.01.54.538853,PL18,words ,1,
12.01.54.575426,PL18,words ,1,
12.01.54.618566,PL18,words ,1,
12.01.54.650706,PL18,words ,1,
12.01.54.702456,PL18,words ,1,
12.01.54.728131,PL18,words ,1,
12.01.54.764455,PL18,words ,1,
12.01.54.806794,PL18,words ,1,
12.01.54.835374,PL18,words ,1,
12.01.54.868462,PL18,words ,1,
12.01.54.915596,PL18,words ,1,
12.01.54.950997,PL18,words ,1,
12.01.54.979718,PL18,words ,1,
12.01.55.024790,PL18,words ,1,
12.01.55.054885,PL18,words ,1,
12.01.55.102633,PL18,words ,1,
12.01.55.138954,PL18,words ,1,
12.01.55.164358,PL18,words ,1,
12.01.55.201812,PL18,words ,1,
12.01.55.241906,PL18,words ,1,
12.01.55.289326,PL18,words ,1,
12.01.55.323883,PL18,words ,1,
12.01.55.353720,PL18,words ,1,
12.01.55.387909,PL18,words ,1,
12.01.55.430618,PL18,words ,1,
12.01.55.463192,PL18,words ,1,
12.01.55.514557,PL18,words ,1,
12.01.55.538764,PL18,words ,1,
12.01.55.586191,PL18,words ,1,
12.01.55.618678,PL18,words ,1,
12.01.55.649071,PL18,words ,1,
12.01.55.700705,PL18,words ,1,
12.01.55.729381,PL18,words ,1,
12.01.55.764054,PL18,words ,1,
12.01.55.804567,PL18,words ,1,
12.01.55.837185,PL18,words ,1,
12.01.55.882286,PL18,words ,1,
12.01.55.915446,PL18,words ,1,
12.01.55.950986,PL18,words ,1,
12.01.55.991678,PL18,words ,1,
12.01.56.023821,PL18,words ,1,
12.01.56.075061,PL18,words ,1,
12.01.56.101738,PL18,words ,1,
12.01.56.133275,PL18,words ,1,
12.01.56.167129,PL18,words ,1,
12.01.56.211725,PL18,words ,1,
12.01.56.244050,PL18,words ,1,
12.01.56.290006,PL18,words ,1,
12.01.56.326912,PL18,words,1,
12.01.56.369023,PL18,words,1,
12.01.56.398498,PL18,words,1,
12.01.56.431224,PL18,words,1,
12.01.56.476017,PL18,words,1,
12.01.56.514461,PL18,words,1,
12.01.56.539717,PL18,words,1,
12.01.56.587492,PL18,words,1,
12.01.56.618141,PL18,words,1,
12.01.56.664681,PL18,words,1,
12.01.56.697020,PL18,words,1,
12.01.56.727396,PL18,words,1,
12.01.56.773297,PL18,words,1,
12.01.56.804977,PL18,words,1,
12.01.56.853160,PL18,words,1,
12.01.56.886679,PL18,words,1,
12.01.56.916199,PL18,words,1,
12.01.56.950920,PL18,words,1,
12.01.56.992076,PL18,words,1,
12.01.57.024170,PL18,words,1,
12.01.57.075450,PL18,words,1,
12.01.57.103550,PL18,words,1,
12.01.57.139295,PL18,words,1,
12.01.57.180520,PL18,words,1,
12.01.57.212017,PL18,words,1,
12.01.57.266130,PL18,words,1,
12.01.57.291683,PL18,words,1,
12.01.57.327714,PL18,words,1,
12.01.57.368532,PL18,words,1,
12.01.57.399260,PL18,words,1,
12.01.57.451116,PL18,words,1,
12.01.57.477740,PL18,words,1,
12.01.57.511777,PL18,words,1,
12.01.57.554873,PL18,words,1,
12.01.57.586786,PL18,words,1,
12.01.57.618179,PL18,words,1,
12.01.57.664867,PL18,words,1,
12.01.57.701525,PL18,words,1,
12.01.57.743388,PL18,words,1,
12.01.57.774286,PL18,words,1,
12.01.57.803543,PL18,words,1,
12.01.57.852049,PL18,words,1,
12.01.57.889627,PL18,words,1,
12.01.57.916757,PL18,words,1,
12.01.57.961917,PL18,words,1,
12.01.57.994023,PL18,words,1,
12.01.58.039275,PL18,words,1,
12.01.58.074411,PL18,words,1,
12.01.58.103852,PL18,words,1,
12.01.58.139871,PL18,words,1,
12.01.58.179857,PL18,words,1,
12.01.58.227748,PL18,words,1,
12.01.58.265033,PL18,words,1,
12.01.58.289565,PL18,words,1,
12.01.58.337297,PL18,words,1,
12.01.58.367962,PL18,words,1,
12.01.58.399284,PL18,words,1,
12.01.58.450780,PL18,words,1,
12.01.58.477062,PL18,words,1,
12.01.58.515080,PL18,words,1,
12.01.58.554381,PL18,words,1,
12.01.58.585530,PL18,words,1,
12.01.58.637321,PL18,words,1,
12.01.58.663800,PL18,words,1,
12.01.58.702172,PL18,words,1,
12.01.58.743687,PL18,words,1,
12.01.58.775012,PL18,words,1,
12.01.58.826867,PL18,words,1,
12.01.58.854155,PL18,words,1,
12.01.58.887716,PL18,words,1,
12.01.58.929160,PL18,words,1,
12.01.58.961862,PL18,words,1,
12.01.59.012627,PL18,words,1,
12.01.59.040078,PL18,words,1,
12.01.59.070230,PL18,words,1,
12.01.59.119656,PL18,words,1,
12.01.59.149789,PL18,words,1,
12.01.59.181519,PL18,words,1,
12.01.59.228709,PL18,words,1,
12.01.59.264060,PL18,words,1,
12.01.59.305997,PL18,words,1,
12.01.59.336414,PL18,words,1,
12.01.59.368564,PL18,words,1,
12.01.59.416508,PL18,words,1,
12.01.59.450154,PL18,words,1,
12.01.59.479634,PL18,words,1,
12.01.59.514241,PL18,words,1,
12.01.59.555254,PL18,words,1,
12.01.59.601622,PL18,words,1,
12.01.59.638270,PL18,words,1,
12.01.59.663764,PL18,words,1,
12.01.59.702210,PL18,words,1,
12.01.59.743052,PL18,words,1,
12.01.59.774557,PL18,words,1,
12.01.59.826114,PL18,words,1,
12.01.59.852308,PL18,words,1,
12.01.59.885800,PL18,words,1,
12.01.59.930376,PL18,words,1,
12.01.59.961640,PL18,words,1,
12.02.00.013658,PL18,words,1,
12.02.00.039727,PL18,words,1,
12.02.00.076965,PL18,words,1,
12.02.00.118003,PL18,words,1,
12.02.00.148123,PL18,words,1,
12.02.00.203032,PL18,words,1,
