04.04.26.870300,PL201,login,
04.04.59.745230,PL201,login,
04.05.28.253529,PL201,login,
04.40.53.110660,PL201,login,
04.41.06.399521,PL201,words ,1,
04.41.06.664539,PL201,words ,1,
04.41.06.975998,PL201,words ,1,
04.41.07.227489,PL201,words ,1,
04.41.07.468241,PL201,words ,1,
04.41.07.714039,PL201,words ,1,
04.41.07.948586,PL201,words ,1,
04.41.08.195992,PL201,words ,1,
04.41.08.664787,PL201,words ,1,
04.41.08.900754,PL201,words ,1,
04.41.09.184376,PL201,words ,1,
04.41.09.436243,PL201,words ,1,
04.41.09.664205,PL201,words ,1,
04.41.09.913822,PL201,words ,1,
04.41.10.164661,PL201,words ,1,
04.41.10.430302,PL201,words ,1,
04.41.10.697591,PL201,words ,1,
04.41.11.310149,PL201,words ,1,
04.41.11.648861,PL201,words ,1,
04.41.11.872515,PL201,words ,1,
04.41.12.153766,PL201,words ,1,
04.41.12.447851,PL201,words ,1,
04.41.12.773092,PL201,words ,1,
04.41.13.091138,PL201,words ,1,
04.41.13.382566,PL201,words ,1,
04.41.13.742593,PL201,words ,1,
04.41.14.040830,PL201,words ,1,
04.41.14.343521,PL201,words ,1,
04.41.14.633673,PL201,words ,1,
04.41.14.900683,PL201,words ,1,
04.41.15.183611,PL201,words ,1,
04.41.15.466387,PL201,words ,1,
04.41.15.746868,PL201,words ,1,
04.41.16.007360,PL201,words ,1,
04.41.16.289306,PL201,words ,1,
04.41.16.726502,PL201,words ,1,
04.41.16.992874,PL201,words ,1,
04.41.17.180846,PL201,words ,1,
04.41.17.399331,PL201,words ,1,
04.41.17.592543,PL201,words ,1,
04.41.17.790637,PL201,words ,1,
04.41.18.041287,PL201,words ,1,
04.41.18.290763,PL201,words ,1,
04.41.18.529683,PL201,words ,1,
04.41.18.747424,PL201,words ,1,
04.41.18.999893,PL201,words ,1,
04.41.19.226504,PL201,words ,1,
04.41.19.466371,PL201,words ,1,
04.41.19.726781,PL201,words ,1,
04.41.20.215595,PL201,words ,1,
04.41.20.495621,PL201,words ,1,
04.41.20.725286,PL201,words ,1,
04.41.20.913911,PL201,words ,1,
04.41.21.435968,PL201,words ,2,
04.41.21.977416,PL201,words ,2,
04.41.22.007716,PL201,words ,2,
04.41.22.042002,PL201,words,2,
04.41.22.090278,PL201,words,2,
04.41.22.124165,PL201,words,2,
04.41.22.149606,PL201,words,2,
04.41.22.184110,PL201,words,2,
04.41.22.226983,PL201,words,2,
04.41.22.278395,PL201,words,2,
04.41.22.309086,PL201,words,2,
04.41.22.336347,PL201,words,2,
04.41.22.372111,PL201,words,2,
04.41.22.804496,PL201,words,2,
04.41.23.322195,PL201,words,2,
04.41.23.370014,PL201,words,2,
04.41.23.402532,PL201,words,2,
04.41.23.432603,PL201,words,2,
04.41.23.477738,PL201,words,2,
04.41.23.507448,PL201,words,2,
04.41.23.554663,PL201,words,2,
04.41.23.589757,PL201,words,2,
04.41.23.621336,PL201,words,2,
04.41.23.665446,PL201,words,2,
04.41.23.697551,PL201,words,2,
04.41.23.728076,PL201,words,2,
04.41.23.779473,PL201,words,2,
04.41.23.807867,PL201,words,2,
04.41.23.852337,PL201,words,2,
04.41.23.883845,PL201,words,2,
04.41.23.917333,PL201,words,2,
04.41.23.969169,PL201,words,2,
04.41.23.998615,PL201,words,2,
04.41.24.023518,PL201,words,2,
04.41.24.071896,PL201,words,2,
04.41.24.101804,PL201,words,2,
04.41.24.156107,PL201,words,2,
04.41.24.182520,PL201,words,2,
04.41.24.213148,PL201,words,2,
04.41.24.248055,PL201,words,2,
04.41.24.290009,PL201,words,2,
04.41.24.321629,PL201,words,2,
04.41.24.371588,PL201,words,2,
04.41.24.398660,PL201,words,2,
04.41.24.435571,PL201,words,2,
04.41.24.478538,PL201,words,2,
04.41.24.508404,PL201,words,2,
04.41.24.561147,PL201,words,2,
04.41.24.587191,PL201,words,2,
04.41.24.623522,PL201,words,2,
04.41.24.663868,PL201,words,2,
04.41.24.696443,PL201,words,2,
04.41.24.746712,PL201,words,2,
04.41.24.774939,PL201,words,2,
04.41.24.812252,PL201,words,2,
04.41.24.841834,PL201,words,2,
04.41.24.883937,PL201,words,2,
04.41.24.915261,PL201,words,2,
04.41.24.963411,PL201,words,2,
04.41.24.998267,PL201,words,2,
04.41.25.028690,PL201,words,2,
04.41.25.072563,PL201,words,2,
04.41.25.123297,PL201,words,2,
04.41.25.148749,PL201,words,2,
04.41.25.184297,PL201,words,2,
04.41.25.214750,PL201,words,2,
04.41.25.259040,PL201,words,2,
04.41.25.290502,PL201,words,2,
04.41.25.338257,PL201,words,2,
04.41.25.373420,PL201,words,2,
04.41.25.404463,PL201,words,2,
04.41.25.448409,PL201,words,2,
04.41.25.477121,PL201,words,2,
04.41.25.524619,PL201,words,2,
04.41.25.560653,PL201,words,2,
04.41.25.592394,PL201,words,2,
04.41.25.634098,PL201,words,2,
04.41.25.665376,PL201,words,2,
04.41.25.696457,PL201,words,2,
04.41.25.744585,PL201,words,2,
04.41.25.774666,PL201,words,2,
04.41.25.820796,PL201,words,2,
04.41.25.853876,PL201,words,2,
