06.32.03.565378,PL223,login,
06.32.15.547732,PL223,words ,2,
06.32.16.078800,PL223,words ,2,
06.32.16.112076,PL223,words ,2,
06.32.16.155387,PL223,words ,2,
06.32.16.188706,PL223,words ,2,
06.32.16.225618,PL223,words ,2,
06.32.16.265604,PL223,words ,2,
06.32.16.298356,PL223,words ,2,
06.32.16.332607,PL223,words ,2,
06.32.16.376054,PL223,words ,2,
06.32.16.412045,PL223,words ,2,
06.32.16.454692,PL223,words ,2,
06.32.16.486126,PL223,words ,2,
06.32.16.516775,PL223,words ,2,
06.32.16.563487,PL223,words ,2,
06.32.16.599147,PL223,words ,2,
06.32.16.642496,PL223,words ,2,
06.32.16.672768,PL223,words ,2,
06.32.16.704286,PL223,words ,2,
06.32.16.750238,PL223,words ,2,
06.32.16.787736,PL223,words ,2,
06.32.16.831866,PL223,words ,2,
06.32.16.861952,PL223,words ,2,
06.32.16.891014,PL223,words ,2,
06.32.16.937136,PL223,words ,2,
06.32.16.973231,PL223,words ,2,
06.32.17.001336,PL223,words ,2,
06.32.17.036398,PL223,words ,2,
06.32.17.079512,PL223,words ,2,
06.32.17.126638,PL223,words ,2,
06.32.17.163034,PL223,words ,2,
06.32.17.190666,PL223,words ,2,
06.32.17.223554,PL223,words ,2,
06.32.17.266964,PL223,words ,2,
06.32.17.299775,PL223,words ,2,
06.32.17.351178,PL223,words ,2,
06.32.17.376434,PL223,words ,2,
06.32.17.423048,PL223,words ,2,
06.32.17.454458,PL223,words ,2,
06.32.17.488215,PL223,words ,2,
06.32.17.536883,PL223,words ,2,
06.32.17.563041,PL223,words ,2,
06.32.17.598098,PL223,words ,2,
06.32.17.642345,PL223,words ,2,
06.32.17.672274,PL223,words ,2,
06.32.17.724786,PL223,words ,2,
06.32.17.753059,PL223,words ,2,
06.32.17.782686,PL223,words ,2,
06.32.17.829392,PL223,words ,2,
06.32.17.860519,PL223,words ,2,
06.32.17.913054,PL223,words ,2,
06.32.17.938627,PL223,words ,2,
06.32.17.975598,PL223,words ,2,
06.32.18.015706,PL223,words ,2,
06.32.18.048200,PL223,words ,2,
06.32.18.079827,PL223,words ,2,
06.32.18.128307,PL223,words,2,
06.32.18.155444,PL223,words,2,
06.32.18.204473,PL223,words,2,
06.32.18.236004,PL223,words,2,
06.32.18.268322,PL223,words,2,
06.32.18.313469,PL223,words,2,
06.32.18.349795,PL223,words,2,
06.32.18.393193,PL223,words,2,
06.32.18.422882,PL223,words,2,
06.32.18.454155,PL223,words,2,
06.32.18.502870,PL223,words,2,
06.32.18.537841,PL223,words,2,
06.32.18.564039,PL223,words,2,
06.32.18.611239,PL223,words,2,
06.32.18.640508,PL223,words,2,
06.32.18.688956,PL223,words,2,
06.32.18.722827,PL223,words,2,
06.32.18.752504,PL223,words,2,
06.32.18.798661,PL223,words,2,
06.32.18.830379,PL223,words,2,
06.32.18.860830,PL223,words,2,
06.32.18.912676,PL223,words,2,
06.32.18.939196,PL223,words,2,
06.32.18.986723,PL223,words,2,
06.32.19.018162,PL223,words,2,
06.32.19.049247,PL223,words,2,
06.32.19.101172,PL223,words,2,
06.32.19.128068,PL223,words,2,
06.32.19.159519,PL223,words,2,
06.32.19.204207,PL223,words,2,
06.32.19.236025,PL223,words,2,
06.32.19.286982,PL223,words,2,
06.32.19.316272,PL223,words,2,
06.32.19.346628,PL223,words,2,
06.32.19.391847,PL223,words,2,
06.32.19.422094,PL223,words,2,
06.32.19.474671,PL223,words,2,
06.32.19.502064,PL223,words,2,
06.32.19.533346,PL223,words,2,
06.32.19.580089,PL223,words,2,
06.32.19.611203,PL223,words,2,
06.32.19.662588,PL223,words,2,
06.32.19.690423,PL223,words,2,
06.32.19.720749,PL223,words,2,
