04.51.24.799495,PL301,login,
11.23.38.810633,PL301,login,
11.24.16.959062,PL301,login,
11.24.22.530682,PL301,words ,2,
11.24.23.061976,PL301,words ,2,
11.24.23.093233,PL301,words ,2,
11.24.23.124500,PL301,words ,2,
11.24.23.171121,PL301,words ,2,
11.24.23.202594,PL301,words ,2,
11.24.23.233609,PL301,words ,2,
11.24.23.280761,PL301,words ,2,
11.24.23.311982,PL301,words ,2,
11.24.23.358877,PL301,words ,2,
11.24.23.390117,PL301,words ,2,
11.24.23.421126,PL301,words ,2,
11.24.23.468023,PL301,words ,2,
11.24.23.499258,PL301,words ,2,
11.24.23.546138,PL301,words ,2,
11.24.23.577429,PL301,words ,2,
11.24.23.608683,PL301,words ,2,
11.24.23.655563,PL301,words ,2,
11.24.23.687031,PL301,words ,2,
11.24.23.718285,PL301,words ,2,
11.24.23.765160,PL301,words ,2,
11.24.23.796413,PL301,words ,2,
11.24.23.827668,PL301,words ,2,
11.24.23.874555,PL301,words ,2,
11.24.23.905693,PL301,words ,2,
11.24.23.952691,PL301,words ,2,
11.24.23.983944,PL301,words ,2,
11.24.24.014937,PL301,words ,2,
11.24.24.062075,PL301,words ,2,
11.24.24.093332,PL301,words ,2,
11.24.24.140209,PL301,words ,2,
11.24.24.171238,PL301,words ,2,
11.24.24.202505,PL301,words ,2,
11.24.24.249598,PL301,words ,2,
11.24.24.280820,PL301,words ,2,
11.24.24.327735,PL301,words ,2,
11.24.24.358961,PL301,words ,2,
11.24.24.390216,PL301,words ,2,
11.24.24.428952,PL301,words ,2,
11.24.24.475862,PL301,words ,2,
11.24.24.507104,PL301,words ,2,
11.24.24.538104,PL301,words ,2,
11.24.24.585248,PL301,words ,2,
11.24.24.616226,PL301,words ,2,
11.24.24.647516,PL301,words ,2,
11.24.24.694358,PL301,words ,2,
11.24.24.725612,PL301,words ,2,
11.24.24.772492,PL301,words ,2,
11.24.24.803745,PL301,words ,2,
11.24.24.834998,PL301,words ,2,
11.24.24.881879,PL301,words ,2,
11.24.24.913364,PL301,words ,2,
11.24.25.413445,PL301,words ,1,
11.24.25.937339,PL301,words ,1,
11.24.25.984231,PL301,words ,1,
11.24.26.015472,PL301,words ,1,
11.24.26.046703,PL301,words,1,
11.24.26.093603,PL301,words,1,
11.24.26.124860,PL301,words,1,
11.24.26.171748,PL301,words,1,
11.24.26.202973,PL301,words,1,
11.24.26.234207,PL301,words,1,
11.24.26.281108,PL301,words,1,
11.24.26.312360,PL301,words,1,
11.24.26.343365,PL301,words,1,
11.24.26.390505,PL301,words,1,
11.24.26.421538,PL301,words,1,
11.24.26.468660,PL301,words,1,
11.24.26.499895,PL301,words,1,
11.24.26.531172,PL301,words,1,
11.24.26.578029,PL301,words,1,
11.24.26.609293,PL301,words,1,
11.24.26.640282,PL301,words,1,
11.24.26.687412,PL301,words,1,
11.24.26.718681,PL301,words,1,
11.24.26.765558,PL301,words,1,
11.24.26.796809,PL301,words,1,
11.24.26.828058,PL301,words,1,
11.24.26.874905,PL301,words,1,
11.24.26.906171,PL301,words,1,
