10.17.29.958840,PL91,login,
10.19.13.447255,PL91,login,
10.19.21.748591,PL91,words ,2,
10.19.22.279896,PL91,words ,2,
10.19.22.311146,PL91,words ,2,
10.19.22.342428,PL91,words ,2,
10.19.22.389289,PL91,words ,2,
10.19.22.420558,PL91,words ,2,
10.19.22.451564,PL91,words ,2,
10.19.22.498673,PL91,words ,2,
10.19.22.529682,PL91,words ,2,
10.19.22.576789,PL91,words ,2,
10.19.22.608074,PL91,words ,2,
10.19.22.639310,PL91,words ,2,
10.19.22.686108,PL91,words ,2,
10.19.22.717467,PL91,words ,2,
10.19.22.764338,PL91,words ,2,
10.19.22.795585,PL91,words ,2,
10.19.22.842253,PL91,words ,2,
10.19.22.873725,PL91,words ,2,
10.19.22.904965,PL91,words ,2,
10.19.22.936169,PL91,words ,2,
10.19.22.983135,PL91,words ,2,
10.19.23.014358,PL91,words ,2,
10.19.23.061226,PL91,words ,2,
10.19.23.092497,PL91,words ,2,
10.19.23.123729,PL91,words ,2,
10.19.23.170645,PL91,words ,2,
10.19.23.201629,PL91,words ,2,
10.19.23.232894,PL91,words ,2,
10.19.23.280008,PL91,words ,2,
10.19.23.311256,PL91,words ,2,
10.19.23.358126,PL91,words ,2,
10.19.23.389408,PL91,words ,2,
10.19.23.420661,PL91,words ,2,
10.19.23.467538,PL91,words ,2,
10.19.23.499361,PL91,words ,2,
10.19.23.539019,PL91,words ,2,
10.19.23.570242,PL91,words ,2,
10.19.23.617141,PL91,words ,2,
10.19.23.648381,PL91,words ,2,
10.19.23.679434,PL91,words ,2,
10.19.23.726497,PL91,words ,2,
10.19.23.757161,PL91,words ,2,
10.19.23.796904,PL91,words ,2,
10.19.23.827878,PL91,words ,2,
10.19.23.874999,PL91,words ,2,
10.19.23.906253,PL91,words ,2,
10.19.23.952890,PL91,words ,2,
10.19.23.984405,PL91,words ,2,
10.19.24.015678,PL91,words ,2,
10.19.24.062523,PL91,words ,2,
10.19.24.093757,PL91,words ,2,
10.19.24.124790,PL91,words ,2,
10.19.24.171926,PL91,words ,2,
10.19.24.202937,PL91,words ,2,
10.19.24.250052,PL91,words ,2,
10.19.24.281290,PL91,words ,2,
10.19.24.312523,PL91,words,2,
10.19.24.359225,PL91,words,2,
10.19.24.390487,PL91,words,2,
10.19.24.437561,PL91,words,2,
10.19.24.468749,PL91,words,2,
10.19.24.500036,PL91,words,2,
10.19.24.546935,PL91,words,2,
10.19.24.578212,PL91,words,2,
10.19.24.609465,PL91,words,2,
10.19.24.656351,PL91,words,2,
10.19.24.687608,PL91,words,2,
10.19.24.734397,PL91,words,2,
10.19.24.765753,PL91,words,2,
10.19.24.796993,PL91,words,2,
10.19.24.843870,PL91,words,2,
10.19.24.875112,PL91,words,2,
10.19.24.906352,PL91,words,2,
10.19.24.953274,PL91,words,2,
10.19.24.984390,PL91,words,2,
10.19.25.031379,PL91,words,2,
10.19.25.062633,PL91,words,2,
10.19.25.093899,PL91,words,2,
10.19.25.140746,PL91,words,2,
10.19.25.172015,PL91,words,2,
10.19.25.203026,PL91,words,2,
10.19.25.250164,PL91,words,2,
10.19.25.295962,PL91,words,2,
10.19.25.327194,PL91,words,2,
10.19.25.360551,PL91,words,2,
10.19.25.400559,PL91,words,2,
10.19.25.431775,PL91,words,2,
10.19.25.478667,PL91,words,2,
10.19.25.509923,PL91,words,2,
10.19.25.541136,PL91,words,2,
10.19.25.588053,PL91,words,2,
10.19.25.619210,PL91,words,2,
10.19.25.650553,PL91,words,2,
10.19.25.697437,PL91,words,2,
10.19.25.728679,PL91,words,2,
10.19.25.775557,PL91,words,2,
10.19.25.806817,PL91,words,2,
10.19.25.838052,PL91,words,2,
10.19.25.884744,PL91,words,2,
10.19.25.916218,PL91,words,2,
10.19.25.947451,PL91,words,2,
10.19.25.994353,PL91,words,2,
10.19.26.025584,PL91,words,2,
10.19.26.072503,PL91,words,2,
10.19.26.103740,PL91,words,2,
10.19.26.134730,PL91,words,2,
10.19.26.181879,PL91,words,2,
10.19.26.213092,PL91,words,2,
10.19.26.244117,PL91,words,2,
10.19.26.291261,PL91,words,2,
10.19.26.322498,PL91,words,2,
10.19.26.369173,PL91,words,2,
10.19.26.400629,PL91,words,2,
10.19.26.431884,PL91,words,2,
10.19.26.478765,PL91,words,2,
10.19.26.510048,PL91,words,2,
10.19.26.541024,PL91,words,2,
10.19.26.588132,PL91,words,2,
10.19.26.619206,PL91,words,2,
10.19.26.666289,PL91,words,2,
10.19.26.697540,PL91,words,2,
10.19.26.728804,PL91,words,2,
10.19.26.775657,PL91,words,2,
10.19.26.806944,PL91,words,2,
10.19.26.853818,PL91,words,2,
10.19.26.884810,PL91,words,2,
10.19.26.916348,PL91,words,2,
10.19.26.963196,PL91,words,2,
10.19.26.994445,PL91,words,2,
10.19.27.025711,PL91,words,2,
10.19.27.072595,PL91,words,2,
10.19.27.103844,PL91,words,2,
10.19.27.134845,PL91,words,2,
10.19.27.181972,PL91,words,2,
10.19.27.213232,PL91,words,2,
10.19.27.260128,PL91,words,2,
10.19.27.291345,PL91,words,2,
10.19.27.322358,PL91,words,2,
10.19.27.369444,PL91,words,2,
10.19.27.400747,PL91,words,2,
10.19.27.447627,PL91,words,2,
10.19.27.478852,PL91,words,2,
10.19.27.510122,PL91,words,2,
10.19.27.557003,PL91,words,2,
10.19.27.588266,PL91,words,2,
10.19.27.619265,PL91,words,2,
10.19.27.666409,PL91,words,2,
10.19.27.698386,PL91,words,2,
10.19.27.734085,PL91,words,2,
10.19.27.780941,PL91,words,2,
10.19.27.812182,PL91,words,2,
10.19.27.843455,PL91,words,2,
10.19.27.890358,PL91,words,2,
10.19.27.921602,PL91,words,2,
10.19.27.968224,PL91,words,2,
10.19.27.999703,PL91,words,2,
10.19.28.030954,PL91,words,2,
10.19.28.077843,PL91,words,2,
10.19.28.109110,PL91,words,2,
10.19.28.140115,PL91,words,2,
10.19.28.187233,PL91,words,2,
10.19.28.218389,PL91,words,2,
10.19.28.265365,PL91,words,2,
10.19.28.296632,PL91,words,2,
