10.54.00.225777 PL97 login 
10.54.13.147408 PL97 words 1 
10.54.13.663066 PL97 words 1 
10.54.13.710201 PL97 words 1 
10.54.13.741455 PL97 words 1 
10.54.13.772468 PL97 words 1 
10.54.13.819589 PL97 words 1 
10.54.13.850834 PL97 words 1 
10.54.13.897729 PL97 words 1 
10.54.13.928955 PL97 words 1 
10.54.13.960224 PL97 words 1 
10.54.14.007100 PL97 words 1 
10.54.14.038370 PL97 words 1 
10.54.14.092885 PL97 words 1 
10.54.14.108260 PL97 words 1 
10.54.14.155410 PL97 words 1 
10.54.14.186639 PL97 words 1 
10.54.14.233529 PL97 words 1 
10.54.14.264765 PL97 words 1 
10.54.14.296019 PL97 words 1 
10.54.14.342940 PL97 words 1 
10.54.14.374171 PL97 words 1 
10.54.14.405452 PL97 words 1 
10.54.14.452210 PL97 words 1 
10.54.14.483556 PL97 words 1 
10.54.14.530430 PL97 words 1 
10.54.14.561664 PL97 words 1 
10.54.14.592945 PL97 words 1 
10.54.14.639825 PL97 words 1 
10.54.14.671067 PL97 words 1 
10.54.14.702089 PL97 words 1 
10.54.14.749201 PL97 words 1 
10.54.14.780452 PL97 words 1 
10.54.14.827335 PL97 words 1 
10.54.14.858595 PL97 words 1 
10.54.14.889827 PL97 words 1 
10.54.14.944299 PL97 words 1 
10.54.14.975552 PL97 words 1 
10.54.15.006812 PL97 words 1 
10.54.15.038028 PL97 words 1 
10.54.15.084664 PL97 words 1 
10.54.15.116158 PL97 words 1 
10.54.15.163044 PL97 words 1 
10.54.15.194299 PL97 words 1 
10.54.15.225564 PL97 words 1 
10.54.15.272438 PL97 words 1 
10.54.15.303677 PL97 words 1 
10.54.15.334704 PL97 words 1 
10.54.15.381816 PL97 words 1 
10.54.15.413071 PL97 words 1 
10.54.15.459949 PL97 words 1 
10.54.15.491201 PL97 words 1 
10.54.15.522475 PL97 words 1 
10.54.15.569154 PL97 words 1 
10.54.15.600602 PL97 words 1 
10.54.15.631612 PL97 words 1 
10.54.15.678740 PL97 words 1 
10.54.15.709973 PL97 words 1 
10.54.15.756880 PL97 words 1 
10.54.15.788113 PL97 words 1 
10.54.15.819161 PL97 words 1 
10.54.15.866246 PL97 words 1 
10.54.15.897481 PL97 words 1 
10.54.15.941904 PL97 words 1 
10.54.15.973406 PL97 words 1 
10.54.16.004672 PL97 words 1 
10.54.16.051334 PL97 words 1 
10.54.16.082809 PL97 words 1 
10.54.16.130404 PL97 words 1 
10.54.16.154382 PL97 words 1 
10.54.16.197808 PL97 words 1 
10.54.16.229076 PL97 words 1 
10.54.16.275941 PL97 words 1 
10.54.16.307197 PL97 words 1 
10.54.16.338448 PL97 words 1 
10.54.16.385329 PL97 words 1 
10.54.16.416620 PL97 words 1 
10.54.16.463710 PL97 words 1 
10.54.16.494984 PL97 words 1 
10.54.16.526014 PL97 words 1 
10.54.16.573077 PL97 words 1 
10.54.16.604331 PL97 words 1 
10.54.16.650983 PL97 words 1 
10.54.16.682490 PL97 words 1 
10.54.16.713720 PL97 words 1 
10.54.16.760641 PL97 words 1 
10.54.16.791899 PL97 words 1 
10.54.16.823157 PL97 words 1 
10.54.16.870015 PL97 words 1 
10.54.16.901009 PL97 words 1 
10.54.16.948136 PL97 words 1 
10.54.16.979394 PL97 words 1 
10.54.17.010651 PL97 words 1 
10.54.17.057552 PL97 words 1 
10.54.17.088774 PL97 words 1 
10.54.17.120021 PL97 words 1 
10.54.17.166940 PL97 words 1 
10.54.17.198170 PL97 words 1 
10.54.17.245064 PL97 words 1 
10.54.17.276287 PL97 words 1 
10.54.17.307560 PL97 words 1 
10.54.17.354428 PL97 words 1 
10.54.17.385599 PL97 words 1 
10.54.17.416691 PL97 words 1 
10.54.17.463811 PL97 words 1 
10.54.17.495090 PL97 words 1 
10.54.17.541949 PL97 words 1 
10.54.17.573208 PL97 words 1 
10.54.17.604470 PL97 words 1 
10.54.17.651130 PL97 words 1 
10.54.17.682609 PL97 words 1 
10.54.17.729490 PL97 words 1 
10.54.17.760727 PL97 words 1 
10.54.17.791969 PL97 words 1 
10.54.17.838856 PL97 words 1 
10.54.17.870118 PL97 words 1 
10.54.17.901275 PL97 words 1 
10.54.17.948033 PL97 words 1 
10.54.17.979480 PL97 words 1 
10.54.18.026388 PL97 words 1 
10.54.18.057613 PL97 words 1 
10.54.18.097635 PL97 words 1 
10.54.18.133170 PL97 words 1 
10.54.18.164433 PL97 words 1 
10.54.18.211296 PL97 words 1 
10.54.18.242542 PL97 words 1 
10.54.18.273799 PL97 words 1 
10.54.18.320423 PL97 words 1 
10.54.18.351713 PL97 words 1 
10.54.18.398592 PL97 words 1 
10.54.18.429811 PL97 words 1 
10.54.18.461063 PL97 words 1 
10.54.18.507944 PL97 words 1 
10.54.18.539196 PL97 words 1 
10.54.18.570464 PL97 words 1 
10.54.18.617330 PL97 words 1 
10.54.18.648829 PL97 words 1 
10.54.18.695728 PL97 words 1 
10.54.18.726978 PL97 words 1 
10.54.18.758230 PL97 words 1 
10.54.18.805096 PL97 words 1 
10.54.18.836331 PL97 words 1 
10.54.18.867359 PL97 words 1 
10.54.18.914514 PL97 words 1 
10.54.18.945756 PL97 words 1 
10.54.18.992615 PL97 words 1 
10.54.19.023625 PL97 words 1 
10.54.19.055153 PL97 words 1 
10.54.19.101921 PL97 words 1 
10.54.19.133011 PL97 words 1 
10.54.19.164265 PL97 words 1 
10.54.19.211149 PL97 words 1 
10.54.19.242444 PL97 words 1 
10.54.19.289536 PL97 words 1 
10.54.19.328475 PL97 words 1 
10.54.19.359760 PL97 words 1 
10.54.19.390981 PL97 words 1 
10.54.19.437888 PL97 words 1 
10.54.19.468875 PL97 words 1 
10.54.19.500385 PL97 words 1 
10.54.19.547274 PL97 words 1 
10.54.19.578494 PL97 words 1 
10.54.19.625380 PL97 words 1 
10.54.19.656627 PL97 words 1 
10.54.19.687892 PL97 words 1 
10.54.19.734582 PL97 words 1 
10.54.19.766043 PL97 words 1 
10.54.19.797037 PL97 words 1 
10.54.19.844153 PL97 words 1 
10.54.19.875444 PL97 words 1 
10.54.19.922316 PL97 words 1 
10.54.19.953569 PL97 words 1 
10.54.19.984728 PL97 words 1 
10.54.20.031727 PL97 words 1 
10.54.20.062965 PL97 words 1 
10.54.20.109827 PL97 words 1 
10.54.20.141052 PL97 words 1 
10.54.20.172305 PL97 words 1 
10.54.20.219200 PL97 words 1 
10.54.20.250325 PL97 words 1 
10.54.20.281709 PL97 words 1 
10.54.20.328602 PL97 words 1 
10.54.20.359843 PL97 words 1 
10.54.20.406724 PL97 words 1 
10.54.20.437968 PL97 words 1 
10.54.20.469223 PL97 words 1 
10.54.20.516120 PL97 words 1 
10.54.20.547345 PL97 words 1 
10.54.20.578384 PL97 words 1 
10.54.20.625500 PL97 words 1 
10.54.20.656754 PL97 words 1 
10.54.20.703383 PL97 words 1 
10.54.20.734795 PL97 words 1 
10.54.20.766152 PL97 words 1 
10.54.20.813013 PL97 words 1 
10.54.20.844255 PL97 words 1 
10.54.20.875277 PL97 words 1 
10.54.20.922406 PL97 words 1 
10.54.20.953652 PL97 words 1 
