02.53.51.989259,SB11,login,
02.54.02.076600,SB11,words ,1,
02.54.02.608406,SB11,words ,1,
02.54.02.657634,SB11,words ,1,
02.54.02.680309,SB11,words ,1,
02.54.02.732083,SB11,words ,1,
02.54.02.763321,SB11,words ,1,
02.54.02.795296,SB11,words ,1,
02.54.02.826771,SB11,words ,1,
02.54.02.869834,SB11,words ,1,
02.54.02.901695,SB11,words ,1,
02.54.02.950962,SB11,words ,1,
02.54.02.983374,SB11,words ,1,
02.54.03.014483,SB11,words ,1,
02.54.03.055276,SB11,words ,1,
02.54.03.087073,SB11,words ,1,
02.54.03.137784,SB11,words ,1,
02.54.03.166833,SB11,words ,1,
02.54.03.200871,SB11,words ,1,
02.54.03.245583,SB11,words ,1,
02.54.03.275071,SB11,words ,1,
02.54.03.321573,SB11,words ,1,
02.54.03.356595,SB11,words ,1,
02.54.03.389964,SB11,words ,1,
02.54.03.420069,SB11,words ,1,
02.54.03.464558,SB11,words ,1,
02.54.03.494268,SB11,words ,1,
02.54.03.534385,SB11,words ,1,
02.54.03.572919,SB11,words ,1,
02.54.03.616869,SB11,words ,1,
02.54.03.649189,SB11,words ,1,
02.54.03.701715,SB11,words ,1,
02.54.03.729928,SB11,words ,1,
02.54.03.761225,SB11,words ,1,
02.54.03.805335,SB11,words ,1,
02.54.03.839123,SB11,words ,1,
02.54.03.869798,SB11,words ,1,
02.54.03.922073,SB11,words ,1,
02.54.03.945420,SB11,words ,1,
02.54.03.979434,SB11,words ,1,
02.54.04.018250,SB11,words ,1,
02.54.04.058201,SB11,words ,1,
02.54.04.090637,SB11,words ,1,
02.54.04.138113,SB11,words ,1,
02.54.04.167977,SB11,words ,1,
02.54.04.202624,SB11,words ,1,
02.54.04.243337,SB11,words ,1,
02.54.04.275750,SB11,words ,1,
02.54.04.325511,SB11,words ,1,
02.54.04.355886,SB11,words ,1,
02.54.04.390365,SB11,words ,1,
02.54.04.431482,SB11,words ,1,
02.54.04.462727,SB11,words ,1,
02.54.04.513032,SB11,words ,1,
02.54.04.542173,SB11,words ,1,
02.54.04.575386,SB11,words ,1,
02.54.04.617050,SB11,words ,1,
02.54.04.648616,SB11,words,1,
02.54.04.703032,SB11,words,1,
02.54.04.737113,SB11,words,1,
02.54.04.777759,SB11,words,1,
02.54.05.078637,SB11,words,2,
02.54.05.589096,SB11,words,2,
02.54.05.639186,SB11,words,2,
02.54.05.670746,SB11,words,2,
02.54.05.694956,SB11,words,2,
02.54.05.733212,SB11,words,2,
02.54.05.772424,SB11,words,2,
02.54.05.822454,SB11,words,2,
02.54.05.855543,SB11,words,2,
02.54.05.889634,SB11,words,2,
02.54.05.918714,SB11,words,2,
02.54.05.961827,SB11,words,2,
02.54.05.991904,SB11,words,2,
02.54.06.044044,SB11,words,2,
02.54.06.071116,SB11,words,2,
02.54.06.120246,SB11,words,2,
02.54.06.154339,SB11,words,2,
02.54.06.181411,SB11,words,2,
02.54.06.232410,SB11,words,2,
02.54.06.264824,SB11,words,2,
02.54.06.296190,SB11,words,2,
02.54.06.338788,SB11,words,2,
02.54.06.370862,SB11,words,2,
02.54.06.401353,SB11,words,2,
02.54.06.454157,SB11,words,2,
02.54.06.487929,SB11,words,2,
02.54.06.527199,SB11,words,2,
02.54.06.558896,SB11,words,2,
02.54.06.594067,SB11,words,2,
02.54.06.643192,SB11,words,2,
02.54.06.670286,SB11,words,2,
02.54.06.703137,SB11,words,2,
02.54.06.744034,SB11,words,2,
02.54.06.779976,SB11,words,2,
02.54.06.828161,SB11,words,2,
02.54.06.852260,SB11,words,2,
02.54.06.890154,SB11,words,2,
02.54.06.930652,SB11,words,2,
02.54.06.962686,SB11,words,2,
02.54.07.011280,SB11,words,2,
02.54.07.041615,SB11,words,2,
02.54.07.074538,SB11,words,2,
02.54.07.119504,SB11,words,2,
02.54.07.151809,SB11,words,2,
02.54.07.201313,SB11,words,2,
02.54.07.229718,SB11,words,2,
02.54.07.264975,SB11,words,2,
02.54.07.299135,SB11,words,2,
02.54.07.341322,SB11,words,2,
02.54.07.386355,SB11,words,2,
02.54.07.413779,SB11,words,2,
02.54.07.446644,SB11,words,2,
02.54.07.481582,SB11,words,2,
02.54.07.524813,SB11,words,2,
02.54.07.556773,SB11,words,2,
02.54.07.602028,SB11,words,2,
02.54.07.640001,SB11,words,2,
02.54.07.670036,SB11,words,2,
02.54.07.711904,SB11,words,2,
02.54.07.744187,SB11,words,2,
02.54.07.791043,SB11,words,2,
02.54.07.829006,SB11,words,2,
02.54.07.860816,SB11,words,2,
02.54.07.899738,SB11,words,2,
02.54.07.929803,SB11,words,2,
02.54.07.982878,SB11,words,2,
02.54.08.011954,SB11,words,2,
02.54.08.043144,SB11,words,2,
02.54.08.078429,SB11,words,2,
02.54.08.118665,SB11,words,2,
02.54.08.165585,SB11,words,2,
02.54.08.196642,SB11,words,2,
02.54.08.236674,SB11,words,2,
02.54.08.268325,SB11,words,2,
02.54.08.306877,SB11,words,2,
02.54.08.339846,SB11,words,2,
02.54.08.391467,SB11,words,2,
02.54.08.420554,SB11,words,2,
02.54.08.467503,SB11,words,2,
02.54.08.493897,SB11,words,2,
02.54.08.527593,SB11,words,2,
02.54.08.578896,SB11,words,2,
02.54.08.603523,SB11,words,2,
02.54.08.639777,SB11,words,2,
02.54.08.671415,SB11,words,2,
02.54.08.716565,SB11,words,2,
02.54.08.763637,SB11,words,2,
02.54.08.793911,SB11,words,2,
02.54.08.824276,SB11,words,2,
02.54.08.868859,SB11,words,2,
02.54.08.900570,SB11,words,2,
02.54.08.929865,SB11,words,2,
02.54.08.982037,SB11,words,2,
02.54.09.009181,SB11,words,2,
02.54.09.055537,SB11,words,2,
02.54.09.089057,SB11,words,2,
02.54.09.121330,SB11,words,2,
02.54.09.171156,SB11,words,2,
02.54.09.196299,SB11,words,2,
02.54.09.231842,SB11,words,2,
02.54.09.275027,SB11,words,2,
02.54.09.306788,SB11,words,2,
02.54.09.341267,SB11,words,2,
02.54.09.388778,SB11,words,2,
02.54.09.417890,SB11,words,2,
02.54.09.469681,SB11,words,2,
02.54.09.639191,SB11,words,1,
02.54.10.150843,SB11,words,1,
02.54.10.196832,SB11,words,1,
02.54.10.229221,SB11,words,1,
02.54.10.282135,SB11,words,1,
02.54.10.305637,SB11,words,1,
02.54.10.337726,SB11,words,1,
02.54.10.390679,SB11,words,1,
02.54.10.422632,SB11,words,1,
02.54.10.452785,SB11,words,1,
02.54.10.495086,SB11,words,1,
02.54.10.523408,SB11,words,1,
02.54.10.581878,SB11,words,1,
02.54.10.606755,SB11,words,1,
02.54.10.638027,SB11,words,1,
02.54.10.681827,SB11,words,1,
02.54.10.719677,SB11,words,1,
02.54.10.764931,SB11,words,1,
02.54.10.795968,SB11,words,1,
02.54.10.822232,SB11,words,1,
