10.59.05.642395 SB79 login 
10.59.15.165774 SB79 words 1 
10.59.15.447113 SB79 words 1 
10.59.15.665867 SB79 words 1 
10.59.15.884641 SB79 words 1 
10.59.16.072149 SB79 words 1 
10.59.16.259684 SB79 words 1 
10.59.16.447164 SB79 words 1 
10.59.16.619058 SB79 words 1 
10.59.16.811063 SB79 words 1 
10.59.17.014886 SB79 words 1 
10.59.17.218058 SB79 words 1 
10.59.17.436844 SB79 words 1 
10.59.17.608739 SB79 words 1 
10.59.17.780625 SB79 words 1 
10.59.17.952487 SB79 words 1 
10.59.18.108824 SB79 words 1 
10.59.18.280690 SB79 words 1 
10.59.18.515048 SB79 words 2 
10.59.18.733822 SB79 words 2 
10.59.18.921341 SB79 words 2 
10.59.19.093239 SB79 words 2 
10.59.19.280756 SB79 words 2 
10.59.19.468278 SB79 words 2 
10.59.19.655837 SB79 words 2 
10.59.19.858969 SB79 words 2 
10.59.20.062116 SB79 words 2 
10.59.20.265263 SB79 words 2 
10.59.20.490826 SB79 words 2 
10.59.20.725199 SB79 words 2 
10.59.20.959641 SB79 words 2 
10.59.21.147123 SB79 words 2 
10.59.21.381572 SB79 words 2 
10.59.21.584693 SB79 words 2 
10.59.21.819105 SB79 words 2 
10.59.22.037880 SB79 words 2 
10.59.22.272277 SB79 words 2 
10.59.22.506643 SB79 words 2 
10.59.22.741077 SB79 words 2 
10.59.22.968658 SB79 words 2 
10.59.23.249928 SB79 words 2 
10.59.23.531196 SB79 words 2 
10.59.23.781197 SB79 words 2 
10.59.24.031226 SB79 words 2 
10.59.24.265650 SB79 words 2 
10.59.24.515679 SB79 words 2 
10.59.24.796934 SB79 words 2 
10.59.25.046997 SB79 words 2 
10.59.25.328266 SB79 words 2 
10.59.25.578269 SB79 words 2 
10.59.25.850632 SB79 words 2 
10.59.26.085057 SB79 words 2 
10.59.26.381958 SB79 words 2 
10.59.26.600713 SB79 words 2 
10.59.26.881992 SB79 words 2 
10.59.27.132038 SB79 words 2 
10.59.27.413338 SB79 words 2 
10.59.27.663353 SB79 words 2 
10.59.27.913394 SB79 words 2 
10.59.28.194635 SB79 words 2 
10.59.28.475915 SB79 words 2 
10.59.28.757232 SB79 words 2 
10.59.29.038517 SB79 words 2 
10.59.29.272918 SB79 words 2 
10.59.29.538792 SB79 words 2 
10.59.29.835440 SB79 words 2 
10.59.30.101091 SB79 words 2 
10.59.30.351396 SB79 words 2 
10.59.30.585797 SB79 words 2 
10.59.30.835779 SB79 words 2 
10.59.31.078001 SB79 words 2 
10.59.31.356652 SB79 words 2 
10.59.31.606920 SB79 words 2 
10.59.31.825687 SB79 words 2 
10.59.32.169485 SB79 words 2 
10.59.32.403881 SB79 words 2 
10.59.32.653928 SB79 words 2 
10.59.32.935183 SB79 words 2 
10.59.33.200843 SB79 words 2 
10.59.33.450860 SB79 words 2 
10.59.33.700864 SB79 words 2 
10.59.33.950671 SB79 words 2 
10.59.34.185317 SB79 words 2 
10.59.34.435354 SB79 words 2 
10.59.34.669774 SB79 words 2 
10.59.34.909185 SB79 words 2 
10.59.35.143363 SB79 words 2 
10.59.35.393628 SB79 words 2 
10.59.35.612402 SB79 words 2 
10.59.35.875575 SB79 words 2 
10.59.36.172327 SB79 words 2 
10.59.36.438237 SB79 words 2 
10.59.36.719274 SB79 words 2 
10.59.36.985195 SB79 words 2 
10.59.37.266766 SB79 words 2 
10.59.37.516804 SB79 words 2 
10.59.37.766553 SB79 words 2 
10.59.38.016623 SB79 words 2 
10.59.38.282235 SB79 words 2 
10.59.38.563567 SB79 words 2 
10.59.38.844821 SB79 words 2 
10.59.39.079472 SB79 words 2 
10.59.39.329860 SB79 words 2 
10.59.39.579669 SB79 words 2 
10.59.39.892417 SB79 words 2 
10.59.40.173726 SB79 words 2 
10.59.40.423478 SB79 words 2 
10.59.40.673763 SB79 words 2 
10.59.40.939424 SB79 words 2 
10.59.41.158193 SB79 words 2 
10.59.41.392748 SB79 words 2 
10.59.41.618764 SB79 words 2 
10.59.42.040708 SB79 words 2 
10.59.42.243823 SB79 words 2 
10.59.42.509491 SB79 words 2 
10.59.42.806406 SB79 words 2 
10.59.43.040536 SB79 words 2 
10.59.43.306457 SB79 words 2 
10.59.43.587722 SB79 words 2 
10.59.43.837738 SB79 words 2 
10.59.44.181355 SB79 words 2 
10.59.44.415933 SB79 words 2 
10.59.44.696992 SB79 words 2 
10.59.44.994141 SB79 words 2 
10.59.45.290781 SB79 words 2 
10.59.45.556690 SB79 words 2 
10.59.45.806608 SB79 words 2 
10.59.46.073273 SB79 words 2 
10.59.46.276452 SB79 words 2 
10.59.46.541877 SB79 words 2 
10.59.46.799211 SB79 words 2 
10.59.47.064883 SB79 words 2 
10.59.47.283658 SB79 words 2 
10.59.47.533684 SB79 words 2 
10.59.47.752436 SB79 words 2 
10.59.47.986873 SB79 words 2 
10.59.48.205635 SB79 words 2 
10.59.48.455396 SB79 words 2 
10.59.48.705770 SB79 words 2 
10.59.50.049658 SB79 words 1 
10.59.50.284297 SB79 words 1 
10.59.50.503040 SB79 words 1 
10.59.50.784329 SB79 words 1 
10.59.51.103532 SB79 words 1 
10.59.51.400642 SB79 words 1 
10.59.51.650706 SB79 words 1 
10.59.51.939254 SB79 words 1 
10.59.52.204899 SB79 words 1 
10.59.52.454897 SB79 words 1 
10.59.52.720563 SB79 words 1 
10.59.52.970600 SB79 words 1 
10.59.53.205006 SB79 words 1 
10.59.53.439150 SB79 words 1 
10.59.53.689451 SB79 words 1 
10.59.53.939455 SB79 words 1 
10.59.54.205103 SB79 words 1 
10.59.54.455136 SB79 words 1 
10.59.54.673701 SB79 words 1 
10.59.54.908068 SB79 words 1 
10.59.55.166087 SB79 words 1 
10.59.55.416147 SB79 words 1 
10.59.55.603906 SB79 words 1 
10.59.55.807026 SB79 words 1 
10.59.56.025846 SB79 words 1 
10.59.56.298319 SB79 words 1 
10.59.56.532969 SB79 words 1 
10.59.56.783005 SB79 words 1 
10.59.57.017414 SB79 words 1 
10.59.57.259017 SB79 words 1 
10.59.57.524437 SB79 words 1 
10.59.57.774664 SB79 words 1 
10.59.58.008839 SB79 words 1 
10.59.58.446633 SB79 words 1 
10.59.58.727924 SB79 words 1 
10.59.58.931075 SB79 words 1 
10.59.59.149833 SB79 words 1 
11.00.00.837814 SB79 words 1 
11.00.01.056592 SB79 words 1 
11.00.01.275164 SB79 words 1 
11.00.01.513587 SB79 words 1 
11.00.01.826387 SB79 words 1 
11.00.02.060800 SB79 words 2 
11.00.02.310796 SB79 words 2 
11.00.02.552002 SB79 words 2 
11.00.02.770778 SB79 words 2 
11.00.03.005179 SB79 words 2 
11.00.03.270831 SB79 words 2 
11.00.03.505233 SB79 words 2 
11.00.03.802143 SB79 words 2 
11.00.04.067775 SB79 words 2 
11.00.04.301935 SB79 words 2 
11.00.04.552223 SB79 words 2 
11.00.04.802267 SB79 words 2 
11.00.05.036661 SB79 words 2 
11.00.05.302300 SB79 words 2 
11.00.05.567712 SB79 words 2 
11.00.05.849238 SB79 words 2 
11.00.06.099280 SB79 words 2 
