06.00.39.016885 a login 
06.00.53.461759 a words 1 
06.00.53.827253 a words 1 
06.00.54.065715 a words 1 
06.00.54.269067 a words 1 
06.00.54.472203 a words 1 
06.00.54.675352 a words 1 
06.00.54.862891 a words 1 
06.00.55.050377 a words 1 
06.00.55.237919 a words 1 
06.00.55.461965 a words 1 
06.00.55.633900 a words 1 
06.00.55.821415 a words 1 
06.00.56.024563 a words 1 
06.00.56.993406 a words 2 
06.00.57.181227 a words 2 
06.00.57.318672 a words 2 
06.01.00.454256 a words 1 
06.01.00.682022 a words 1 
06.01.00.863946 a words 1 
06.01.01.183245 a words 1 
06.01.01.373248 a words 2 
06.01.01.602644 a words 2 
06.01.01.755186 a words 2 
06.01.01.870938 a words 2 
06.01.02.004346 a words 2 
06.01.02.155461 a words 2 
06.01.02.304781 a words 2 
06.01.02.424153 a words 2 
06.01.02.555256 a words 2 
06.01.03.071066 a words 2 
06.01.03.124334 a words 2 
06.01.03.155601 a words 2 
06.01.03.186827 a words 2 
06.01.03.224181 a words 2 
06.01.03.271072 a words 2 
06.01.03.304559 a words 2 
06.01.03.339894 a words 2 
06.01.03.371144 a words 2 
06.01.03.424200 a words 2 
06.01.03.455448 a words 2 
06.01.03.486707 a words 2 
06.01.03.524719 a words 2 
06.01.03.555976 a words 2 
06.01.03.603370 a words 2 
06.01.03.640381 a words 2 
06.01.03.671639 a words 2 
06.01.03.708463 a words 2 
06.01.03.755961 a words 2 
06.01.03.787228 a words 2 
06.01.03.824488 a words 2 
06.01.03.855761 a words 2 
06.01.03.903657 a words 2 
06.01.03.940590 a words 2 
06.01.03.971845 a words 2 
06.01.04.004261 a words 2 
06.01.04.040803 a words 2 
06.01.04.087436 a words 2 
06.01.04.125064 a words 2 
06.01.04.156307 a words 2 
06.01.04.187340 a words 2 
06.01.04.224977 a words 2 
06.01.04.272108 a words 2 
06.01.04.304847 a words 2 
06.01.04.341400 a words 2 
06.01.04.388283 a words 2 
06.01.04.425797 a words 2 
06.01.04.457030 a words 2 
06.01.04.488314 a words 2 
06.01.04.526808 a words 2 
06.01.04.573684 a words 2 
06.01.04.605965 a words 2 
06.01.04.643024 a words 2 
06.01.04.674303 a words 2 
06.01.04.710875 a words 2 
06.01.04.758115 a words 2 
06.01.04.789354 a words 2 
06.01.04.826712 a words 2 
06.01.04.857951 a words 2 
06.01.04.905889 a words 2 
06.01.04.942958 a words 2 
06.01.04.974173 a words 2 
06.01.05.006636 a words 2 
06.01.05.043220 a words 2 
06.01.05.090062 a words 2 
06.01.05.127171 a words 2 
06.01.05.158416 a words 2 
06.01.05.205335 a words 2 
06.01.05.236577 a words 2 
06.01.05.267812 a words 2 
06.01.05.314444 a words 2 
06.01.05.345942 a words 2 
06.01.05.376951 a words 2 
06.01.05.424059 a words 2 
06.01.05.455327 a words 2 
06.01.05.502230 a words 2 
06.01.05.533486 a words 2 
06.01.05.564652 a words 2 
06.01.05.611607 a words 2 
06.01.05.642868 a words 2 
06.01.05.689747 a words 2 
06.01.05.720990 a words 2 
06.01.05.752250 a words 2 
06.01.05.798871 a words 2 
06.01.05.830174 a words 2 
06.01.05.861645 a words 2 
06.01.05.908522 a words 2 
06.01.05.939784 a words 2 
06.01.05.986435 a words 2 
06.01.06.017902 a words 2 
06.01.06.049138 a words 2 
06.01.06.096045 a words 2 
06.01.06.127280 a words 2 
06.01.06.158547 a words 2 
06.01.06.205419 a words 2 
06.01.06.236669 a words 2 
06.01.06.283546 a words 2 
06.01.06.314706 a words 2 
06.01.06.346052 a words 2 
06.01.06.392955 a words 2 
06.01.06.424175 a words 2 
06.01.06.455202 a words 2 
06.01.06.502343 a words 2 
06.01.06.533598 a words 2 
06.01.06.580256 a words 2 
06.01.06.611707 a words 2 
06.01.06.642965 a words 2 
06.01.06.689850 a words 2 
06.01.06.721118 a words 2 
06.01.06.767992 a words 2 
06.01.06.791830 a words 2 
06.01.06.831273 a words 2 
06.01.06.878406 a words 2 
06.01.06.909635 a words 2 
06.01.06.940914 a words 2 
06.01.06.987804 a words 2 
06.01.07.019023 a words 2 
06.01.07.050033 a words 2 
06.01.07.096916 a words 2 
06.01.07.128433 a words 2 
06.01.07.175300 a words 2 
06.01.07.206544 a words 2 
06.01.07.237784 a words 2 
06.01.07.284673 a words 2 
06.01.07.315916 a words 2 
06.01.07.346941 a words 2 
06.01.07.394086 a words 2 
06.01.07.425331 a words 2 
06.01.07.472199 a words 2 
06.01.07.503468 a words 2 
06.01.07.534720 a words 2 
06.01.07.581504 a words 2 
06.01.07.612859 a words 2 
06.01.07.659708 a words 2 
06.01.07.690975 a words 2 
06.01.07.722253 a words 2 
06.01.07.769127 a words 2 
06.01.07.800381 a words 2 
06.01.07.831368 a words 2 
06.01.07.878513 a words 2 
06.01.07.909776 a words 2 
