07.44.43.216355,pl702,login,
07.44.50.922302,pl702,words ,1,
07.44.51.455745,pl702,words ,1,
07.44.51.486074,pl702,words ,1,
07.44.51.531373,pl702,words ,1,
07.44.51.563334,pl702,words ,1,
07.44.51.594833,pl702,words ,1,
07.44.51.641464,pl702,words ,1,
07.44.51.673729,pl702,words ,1,
07.44.51.704668,pl702,words ,1,
07.44.51.754693,pl702,words ,1,
07.44.51.780389,pl702,words ,1,
07.44.51.829695,pl702,words ,1,
07.44.51.861359,pl702,words ,1,
07.44.51.892242,pl702,words ,1,
07.44.51.942798,pl702,words ,1,
07.44.51.969493,pl702,words ,1,
07.44.52.016313,pl702,words ,1,
07.44.52.048111,pl702,words ,1,
07.44.52.080716,pl702,words ,1,
07.44.52.128694,pl702,words ,1,
07.44.52.156959,pl702,words ,1,
07.44.52.189603,pl702,words ,1,
07.44.52.235264,pl702,words ,1,
07.44.52.265581,pl702,words ,1,
07.44.52.314117,pl702,words ,1,
07.44.52.345196,pl702,words ,1,
07.44.52.376279,pl702,words ,1,
07.44.52.422402,pl702,words ,1,
07.44.52.453484,pl702,words ,1,
07.44.52.485570,pl702,words ,1,
07.44.52.530690,pl702,words ,1,
07.44.52.563783,pl702,words ,1,
07.44.52.612391,pl702,words ,1,
07.44.52.641432,pl702,words ,1,
07.44.52.671781,pl702,words ,1,
07.44.52.719713,pl702,words ,1,
07.44.52.751678,pl702,words ,1,
07.44.52.782561,pl702,words ,1,
07.44.52.819055,pl702,words ,1,
07.44.52.861923,pl702,words ,1,
07.44.52.906753,pl702,words ,1,
07.44.52.939048,pl702,words ,1,
07.44.52.969550,pl702,words ,1,
07.44.53.016236,pl702,words ,1,
07.44.53.047096,pl702,words ,1,
07.44.53.080895,pl702,words ,1,
07.44.53.127515,pl702,words ,1,
07.44.53.158031,pl702,words ,1,
07.44.53.193591,pl702,words ,1,
07.44.53.236244,pl702,words ,1,
07.44.53.265338,pl702,words ,1,
07.44.53.312445,pl702,words ,1,
07.44.53.345533,pl702,words ,1,
07.44.53.382633,pl702,words ,1,
07.44.53.422739,pl702,words ,1,
07.44.53.453834,pl702,words ,1,
07.44.53.501963,pl702,words,1,
07.44.53.535037,pl702,words,1,
07.44.53.568127,pl702,words,1,
07.44.53.612269,pl702,words,1,
07.44.53.644329,pl702,words,1,
07.44.53.687465,pl702,words,1,
07.44.53.721565,pl702,words,1,
07.44.53.755631,pl702,words,1,
07.44.53.798741,pl702,words,1,
07.44.53.829823,pl702,words,1,
07.44.53.863923,pl702,words,1,
07.44.53.908030,pl702,words,1,
07.44.53.943319,pl702,words,1,
07.44.53.986065,pl702,words,1,
07.44.54.015911,pl702,words,1,
07.44.54.047076,pl702,words,1,
07.44.54.094231,pl702,words,1,
07.44.54.130867,pl702,words,1,
07.44.54.173600,pl702,words,1,
07.44.54.204961,pl702,words,1,
07.44.54.236494,pl702,words,1,
07.44.54.282221,pl702,words,1,
07.44.54.319744,pl702,words,1,
07.44.54.345558,pl702,words,1,
07.44.54.391618,pl702,words,1,
07.44.54.424329,pl702,words,1,
07.44.54.468644,pl702,words,1,
07.44.54.505965,pl702,words,1,
07.44.54.533477,pl702,words,1,
07.44.54.569538,pl702,words,1,
07.44.54.612640,pl702,words,1,
07.44.54.640980,pl702,words,1,
07.44.54.694650,pl702,words,1,
07.44.54.719554,pl702,words,1,
07.44.54.754219,pl702,words,1,
07.44.54.798250,pl702,words,1,
07.44.54.830331,pl702,words,1,
07.44.55.016865,pl702,words,2,
07.44.55.548910,pl702,words,2,
07.44.55.579770,pl702,words,2,
07.44.55.612743,pl702,words,2,
07.44.55.657677,pl702,words,2,
07.44.55.691404,pl702,words,2,
07.44.55.735337,pl702,words,2,
07.44.55.765473,pl702,words,2,
07.44.55.799101,pl702,words,2,
07.44.55.844406,pl702,words,2,
07.44.55.882084,pl702,words,2,
07.44.55.909727,pl702,words,2,
07.44.55.955400,pl702,words,2,
07.44.55.986950,pl702,words,2,
07.44.56.035249,pl702,words,2,
07.44.56.063472,pl702,words,2,
07.44.56.095580,pl702,words,2,
07.44.56.141559,pl702,words,2,
07.44.56.173877,pl702,words,2,
07.44.56.205734,pl702,words,2,
07.44.56.254856,pl702,words,2,
07.44.56.283297,pl702,words,2,
07.44.56.330308,pl702,words,2,
07.44.56.361808,pl702,words,2,
07.44.56.390727,pl702,words,2,
07.44.56.444501,pl702,words,2,
07.44.56.468984,pl702,words,2,
07.44.56.518387,pl702,words,2,
07.44.56.547301,pl702,words,2,
07.44.56.579657,pl702,words,2,
07.44.56.631614,pl702,words,2,
