05.56.53.706958,s,login,
05.57.12.732068,s,words ,1,
05.57.12.910364,s,words ,1,
05.57.13.094718,s,words ,1,
05.57.13.263961,s,words ,1,
05.57.13.432390,s,words ,1,
05.57.13.579849,s,words ,2,
05.57.13.780672,s,words ,2,
05.57.13.932912,s,words ,2,
05.57.14.049292,s,words ,2,
05.57.14.180788,s,words ,2,
05.57.14.343379,s,words ,2,
05.57.14.711925,s,words ,2,
05.57.17.868174,s,words ,2,
05.57.18.167141,s,words ,2,
05.57.18.348497,s,words ,2,
05.57.18.502231,s,words ,2,
05.57.18.689739,s,words ,2,
05.57.18.891690,s,words ,2,
05.57.19.046651,s,words ,2,
05.57.19.219169,s,words ,2,
05.57.19.383661,s,words ,2,
05.57.19.568235,s,words ,2,
05.57.19.752426,s,words ,2,
05.57.19.915338,s,words ,2,
05.57.20.104034,s,words ,2,
05.57.20.283815,s,words ,2,
05.57.20.452507,s,words ,2,
05.57.20.631203,s,words ,2,
05.57.20.800419,s,words ,2,
05.57.21.016079,s,words ,1,
05.57.21.284820,s,words ,1,
05.57.21.484764,s,words ,1,
05.57.22.000978,s,words ,1,
05.57.22.032220,s,words ,1,
05.57.22.085412,s,words ,1,
05.57.22.116670,s,words ,1,
05.57.22.153848,s,words ,1,
05.57.22.185540,s,words ,1,
05.57.22.232430,s,words ,1,
05.57.22.269969,s,words ,1,
05.57.22.301224,s,words ,1,
05.57.22.332241,s,words ,1,
05.57.22.369851,s,words ,1,
05.57.22.416927,s,words ,1,
05.57.22.453230,s,words ,1,
05.57.22.486249,s,words ,1,
05.57.22.533109,s,words ,1,
05.57.22.570266,s,words ,1,
05.57.22.601286,s,words ,1,
05.57.22.633810,s,words ,1,
05.57.22.670102,s,words ,1,
05.57.22.716988,s,words ,1,
05.57.22.754765,s,words ,1,
05.57.22.786263,s,words ,1,
05.57.22.817278,s,words ,1,
05.57.22.879844,s,words ,1,
05.57.22.900151,s,words,1,
05.57.22.931410,s,words,1,
05.57.22.978302,s,words,1,
05.57.23.009296,s,words,1,
05.57.23.040829,s,words,1,
05.57.23.087660,s,words,1,
05.57.23.118912,s,words,1,
05.57.23.149948,s,words,1,
05.57.23.197049,s,words,1,
05.57.23.228311,s,words,1,
05.57.23.275197,s,words,1,
05.57.23.306440,s,words,1,
05.57.23.337702,s,words,1,
05.57.23.384388,s,words,1,
05.57.23.415829,s,words,1,
05.57.23.462725,s,words,1,
05.57.23.493880,s,words,1,
05.57.23.525223,s,words,1,
05.57.23.572101,s,words,1,
05.57.23.603344,s,words,1,
05.57.23.634590,s,words,1,
05.57.23.681519,s,words,1,
05.57.23.712733,s,words,1,
05.57.23.763511,s,words,1,
05.57.23.800140,s,words,1,
05.57.23.831370,s,words,1,
05.57.23.862618,s,words,1,
05.57.23.893648,s,words,1,
05.57.23.940752,s,words,1,
05.57.23.972013,s,words,1,
05.57.24.003269,s,words,1,
05.57.24.050161,s,words,1,
05.57.24.081404,s,words,1,
05.57.24.128272,s,words,1,
05.57.24.159298,s,words,1,
05.57.24.206453,s,words,1,
05.57.24.237671,s,words,1,
05.57.24.268933,s,words,1,
05.57.24.315839,s,words,1,
05.57.24.347093,s,words,1,
05.57.24.378325,s,words,1,
05.57.24.425224,s,words,1,
05.57.24.456439,s,words,1,
05.57.24.503346,s,words,1,
05.57.24.534563,s,words,1,
05.57.24.565836,s,words,1,
05.57.24.612697,s,words,1,
05.57.24.643998,s,words,1,
05.57.24.674974,s,words,1,
05.57.24.722108,s,words,1,
05.57.24.753356,s,words,1,
05.57.24.800245,s,words,1,
05.57.24.831495,s,words,1,
05.57.24.862755,s,words,1,
05.57.24.909617,s,words,1,
05.57.24.940875,s,words,1,
05.57.24.971892,s,words,1,
05.57.25.019012,s,words,1,
05.57.25.050244,s,words,1,
05.57.25.097152,s,words,1,
05.57.25.128388,s,words,1,
05.57.25.159545,s,words,1,
05.57.25.206524,s,words,1,
05.57.25.237776,s,words,1,
05.57.25.284661,s,words,1,
05.57.25.315906,s,words,1,
05.57.25.347155,s,words,1,
05.57.25.393870,s,words,1,
05.57.25.425291,s,words,1,
05.57.25.456545,s,words,1,
05.57.25.503427,s,words,1,
05.57.25.534718,s,words,1,
05.57.25.581575,s,words,1,
05.57.25.612831,s,words,1,
05.57.25.643841,s,words,1,
05.57.25.690949,s,words,1,
05.57.25.722238,s,words,1,
05.57.25.753218,s,words,1,
05.57.25.800370,s,words,1,
05.57.25.831601,s,words,1,
05.57.25.878465,s,words,1,
05.57.25.909623,s,words,1,
05.57.25.940981,s,words,1,
05.57.25.987870,s,words,1,
05.57.26.019123,s,words,1,
05.57.26.050198,s,words,1,
05.57.26.097241,s,words,1,
05.57.26.128487,s,words,1,
05.57.26.175232,s,words,1,
05.57.26.206622,s,words,1,
05.57.26.237687,s,words,1,
05.57.26.284789,s,words,1,
05.57.26.316011,s,words,1,
05.57.26.362901,s,words,1,
05.57.26.394140,s,words,1,
05.57.26.425448,s,words,1,
05.57.26.472589,s,words,1,
05.57.26.503826,s,words,1,
05.57.26.535089,s,words,1,
05.57.26.581975,s,words,1,
05.57.26.613207,s,words,1,
05.57.26.659867,s,words,1,
05.57.26.691343,s,words,1,
05.57.26.722604,s,words,1,
05.57.26.769491,s,words,1,
05.57.26.800731,s,words,1,
05.57.26.832002,s,words,1,
05.57.26.878851,s,words,1,
05.57.26.910057,s,words,1,
05.57.26.957022,s,words,1,
05.57.26.988257,s,words,1,
05.57.27.019490,s,words,1,
05.57.27.066374,s,words,1,
05.57.27.097662,s,words,1,
05.57.27.128648,s,words,1,
05.57.27.175535,s,words,1,
05.57.27.207060,s,words,1,
05.57.27.253915,s,words,1,
05.57.27.285159,s,words,1,
05.57.27.316415,s,words,1,
05.57.27.363314,s,words,1,
05.57.27.394579,s,words,1,
05.57.27.425582,s,words,1,
05.57.27.472689,s,words,1,
05.57.27.503940,s,words,1,
05.57.27.550811,s,words,1,
05.57.27.582049,s,words,1,
05.57.27.613334,s,words,1,
05.57.27.659995,s,words,1,
05.57.27.691485,s,words,1,
05.57.27.738354,s,words,1,
05.57.27.769619,s,words,1,
05.57.27.800856,s,words,1,
05.57.27.847736,s,words,1,
