09.48.25.917218,sb2,login,
09.48.30.747508,sb2,words ,2,
09.48.31.265267,sb2,words ,2,
09.48.31.313789,sb2,words ,2,
09.48.31.339483,sb2,words ,2,
09.48.31.376245,sb2,words ,2,
09.48.31.407637,sb2,words ,2,
09.48.31.451562,sb2,words ,2,
09.48.31.481935,sb2,words ,2,
09.48.31.526865,sb2,words ,2,
09.48.31.558464,sb2,words ,2,
09.48.31.596664,sb2,words ,2,
09.48.31.636886,sb2,words ,2,
09.48.31.669577,sb2,words ,2,
09.48.31.715453,sb2,words ,2,
09.48.31.746125,sb2,words ,2,
09.48.31.783836,sb2,words ,2,
09.48.31.825834,sb2,words ,2,
09.48.31.855128,sb2,words ,2,
09.48.31.902082,sb2,words ,2,
09.48.31.933177,sb2,words ,2,
09.48.31.968794,sb2,words ,2,
09.48.32.013770,sb2,words ,2,
09.48.32.045644,sb2,words ,2,
09.48.32.077579,sb2,words ,2,
09.48.32.127697,sb2,words ,2,
09.48.32.154585,sb2,words ,2,
09.48.32.203476,sb2,words ,2,
09.48.32.230871,sb2,words ,2,
09.48.32.262210,sb2,words ,2,
09.48.32.299712,sb2,words ,2,
09.48.32.344129,sb2,words ,2,
09.48.32.388168,sb2,words ,2,
09.48.32.418797,sb2,words ,2,
09.48.32.450657,sb2,words ,2,
09.48.32.485218,sb2,words ,2,
09.48.32.529406,sb2,words ,2,
09.48.32.561211,sb2,words ,2,
09.48.32.604694,sb2,words ,2,
09.48.32.639590,sb2,words ,2,
09.48.32.689780,sb2,words ,2,
09.48.32.719802,sb2,words ,2,
09.48.32.747487,sb2,words ,2,
09.48.32.792541,sb2,words ,2,
09.48.32.826712,sb2,words ,2,
09.48.32.862810,sb2,words ,2,
09.48.32.905939,sb2,words ,2,
09.48.32.934040,sb2,words ,2,
09.48.32.972100,sb2,words ,2,
09.48.33.012207,sb2,words ,2,
09.48.33.049942,sb2,words ,2,
09.48.33.095043,sb2,words ,2,
09.48.33.120786,sb2,words ,2,
09.48.33.157502,sb2,words ,2,
09.48.33.200777,sb2,words ,2,
09.48.33.236391,sb2,words ,2,
09.48.33.282589,sb2,words ,2,
09.48.33.309268,sb2,words,2,
09.48.33.355963,sb2,words,2,
09.48.33.387096,sb2,words,2,
09.48.33.422694,sb2,words,2,
09.48.33.468017,sb2,words,2,
09.48.33.497846,sb2,words,2,
09.48.33.533044,sb2,words,2,
09.48.33.577413,sb2,words,2,
09.48.33.612276,sb2,words,2,
09.48.33.637718,sb2,words,2,
09.48.33.677900,sb2,words,2,
09.48.33.721564,sb2,words,2,
09.48.33.751276,sb2,words,2,
09.48.33.797807,sb2,words,2,
09.48.33.825827,sb2,words,2,
09.48.33.871374,sb2,words,2,
09.48.33.908852,sb2,words,2,
09.48.33.937982,sb2,words,2,
09.48.33.984212,sb2,words,2,
09.48.34.013180,sb2,words,2,
09.48.34.059506,sb2,words,2,
09.48.34.094953,sb2,words,2,
09.48.34.128010,sb2,words,2,
09.48.34.173115,sb2,words,2,
09.48.34.198690,sb2,words,2,
09.48.34.247717,sb2,words,2,
09.48.34.282810,sb2,words,2,
09.48.34.307889,sb2,words,2,
09.48.34.360015,sb2,words,2,
09.48.34.388092,sb2,words,2,
09.48.34.421178,sb2,words,2,
09.48.34.469306,sb2,words,2,
09.48.34.500389,sb2,words,2,
09.48.34.546537,sb2,words,2,
09.48.34.575243,sb2,words,2,
09.48.34.605754,sb2,words,2,
09.48.34.660992,sb2,words,2,
09.48.34.688124,sb2,words,2,
09.48.34.734908,sb2,words,2,
09.48.34.763542,sb2,words,2,
09.48.34.798089,sb2,words,2,
09.48.34.846902,sb2,words,2,
09.48.34.876024,sb2,words,2,
09.48.34.921904,sb2,words,2,
09.48.34.942274,sb2,words,2,
09.48.34.982350,sb2,words,2,
09.48.35.033043,sb2,words,2,
09.48.35.064872,sb2,words,2,
09.48.35.091014,sb2,words,2,
09.48.35.137657,sb2,words,2,
09.48.35.168658,sb2,words,2,
09.48.35.202726,sb2,words,2,
09.48.35.250481,sb2,words,2,
09.48.35.278427,sb2,words,2,
09.48.35.316111,sb2,words,2,
09.48.35.360924,sb2,words,2,
09.48.35.387644,sb2,words,2,
09.48.35.438851,sb2,words,2,
09.48.35.464228,sb2,words,2,
09.48.35.501841,sb2,words,2,
09.48.35.548445,sb2,words,2,
09.48.35.575528,sb2,words,2,
09.48.35.627791,sb2,words,2,
09.48.35.652307,sb2,words,2,
09.48.35.684985,sb2,words,2,
09.48.35.731068,sb2,words,2,
09.48.35.763066,sb2,words,2,
09.48.35.814090,sb2,words,2,
09.48.35.840124,sb2,words,2,
09.48.35.871096,sb2,words,2,
09.48.35.908207,sb2,words,2,
09.48.35.951337,sb2,words,2,
09.48.36.001292,sb2,words,2,
09.48.36.028314,sb2,words,2,
09.48.36.061809,sb2,words,2,
09.48.36.096579,sb2,words,2,
09.48.36.140984,sb2,words,2,
09.48.36.169234,sb2,words,2,
09.48.36.216186,sb2,words,2,
09.48.36.247838,sb2,words,2,
09.48.36.280832,sb2,words,2,
09.48.36.325669,sb2,words,2,
09.48.36.357325,sb2,words,2,
09.48.36.401282,sb2,words,2,
09.48.36.431799,sb2,words,2,
09.48.36.469974,sb2,words,2,
09.48.36.513885,sb2,words,2,
09.48.36.544769,sb2,words,2,
09.48.36.593886,sb2,words,2,
09.48.36.631987,sb2,words,2,
09.48.36.653043,sb2,words,2,
09.48.36.701071,sb2,words,2,
09.48.36.730688,sb2,words,2,
09.48.36.765317,sb2,words,2,
09.48.36.807938,sb2,words,2,
09.48.36.846195,sb2,words,2,
09.48.36.890063,sb2,words,2,
09.48.36.917297,sb2,words,2,
09.48.36.950522,sb2,words,2,
09.48.36.985358,sb2,words,2,
09.48.37.031616,sb2,words,2,
09.48.37.075639,sb2,words,2,
09.48.37.104630,sb2,words,2,
09.48.37.137431,sb2,words,2,
09.48.37.172568,sb2,words,2,
09.48.37.215319,sb2,words,2,
09.48.37.248237,sb2,words,2,
09.48.37.282917,sb2,words,2,
09.48.37.326027,sb2,words,2,
09.48.37.361442,sb2,words,2,
09.48.37.409509,sb2,words,2,
09.48.37.433266,sb2,words,2,
09.48.37.471237,sb2,words,2,
09.48.37.514264,sb2,words,2,
09.48.37.548386,sb2,words,2,
09.48.37.594692,sb2,words,2,
09.48.37.621075,sb2,words,2,
09.48.37.662330,sb2,words,2,
09.48.37.698535,sb2,words,2,
09.48.37.734604,sb2,words,2,
09.48.37.782915,sb2,words,2,
09.48.37.810345,sb2,words,2,
09.48.37.848595,sb2,words,2,
09.48.37.886314,sb2,words,2,
09.48.37.921265,sb2,words,2,
09.48.37.969524,sb2,words,2,
09.48.37.997573,sb2,words,2,
09.48.38.033682,sb2,words,2,
09.48.38.073876,sb2,words,2,
09.48.38.111990,sb2,words,2,
09.48.38.157117,sb2,words,2,
09.48.38.183168,sb2,words,2,
09.48.38.221294,sb2,words,2,
09.48.38.262380,sb2,words,2,
09.48.38.298244,sb2,words,2,
09.48.38.325606,sb2,words,2,
09.48.38.371245,sb2,words,2,
09.48.38.409056,sb2,words,2,
09.48.38.442327,sb2,words,2,
09.48.38.481561,sb2,words,2,
09.48.38.511903,sb2,words,2,
09.48.38.561981,sb2,words,2,
09.48.38.598503,sb2,words,2,
09.48.38.621458,sb2,words,2,
09.48.38.673467,sb2,words,2,
09.48.38.701533,sb2,words,2,
09.48.38.748407,sb2,words,2,
09.48.38.781899,sb2,words,2,
09.48.38.815465,sb2,words,2,
09.48.38.856092,sb2,words,2,
09.48.38.885470,sb2,words,2,
09.48.38.924989,sb2,words,2,
09.48.38.965529,sb2,words,2,
09.48.38.999896,sb2,words,2,
09.48.39.049940,sb2,words,2,
09.48.39.077821,sb2,words,2,
09.48.39.106025,sb2,words,2,
09.48.39.159235,sb2,words,2,
09.48.39.189231,sb2,words,2,
09.48.39.230215,sb2,words,2,
09.48.39.262651,sb2,words,2,
09.48.39.299857,sb2,words,2,
09.48.39.344191,sb2,words,2,
09.48.39.377803,sb2,words,2,
09.48.39.404082,sb2,words,2,
09.48.39.451663,sb2,words,2,
09.48.39.483873,sb2,words,2,
09.48.39.532442,sb2,words,2,
09.48.39.563499,sb2,words,2,
09.48.39.590571,sb2,words,2,
09.48.39.628673,sb2,words,2,
09.48.39.669801,sb2,words,2,
09.48.39.702870,sb2,words,2,
09.48.39.752005,sb2,words,2,
09.48.39.778078,sb2,words,2,
09.48.39.816171,sb2,words,2,
09.48.39.864982,sb2,words,2,
09.48.39.889185,sb2,words,2,
09.48.39.939382,sb2,words,2,
09.48.39.964765,sb2,words,2,
09.48.39.997558,sb2,words,2,
09.48.40.044751,sb2,words,2,
09.48.40.073930,sb2,words,2,
09.48.40.126628,sb2,words,2,
09.48.40.153361,sb2,words,2,
09.48.40.185082,sb2,words,2,
09.48.40.230562,sb2,words,2,
09.48.40.264698,sb2,words,2,
09.48.40.295511,sb2,words,2,
09.48.40.340874,sb2,words,2,
09.48.40.372222,sb2,words,2,
09.48.40.423550,sb2,words,2,
09.48.40.450509,sb2,words,2,
09.48.40.481694,sb2,words,2,
09.48.40.528644,sb2,words,2,
09.48.40.567174,sb2,words,2,
09.48.40.595435,sb2,words,2,
09.48.40.639140,sb2,words,2,
09.48.40.670096,sb2,words,2,
09.48.40.717432,sb2,words,2,
09.48.40.747387,sb2,words,2,
09.48.40.784428,sb2,words,2,
09.48.40.828681,sb2,words,2,
09.48.40.855139,sb2,words,2,
09.48.40.903101,sb2,words,2,
09.48.40.933676,sb2,words,2,
09.48.40.973597,sb2,words,2,
09.48.41.014281,sb2,words,2,
09.48.41.044043,sb2,words,2,
09.48.41.089624,sb2,words,2,
09.48.41.127298,sb2,words,2,
09.48.41.156949,sb2,words,2,
09.48.41.199252,sb2,words,2,
09.48.41.232318,sb2,words,2,
09.48.41.263759,sb2,words,2,
09.48.41.309634,sb2,words,2,
09.48.41.348683,sb2,words,2,
09.48.41.388678,sb2,words,2,
09.48.41.419024,sb2,words,2,
09.48.41.452873,sb2,words,2,
09.48.41.485446,sb2,words,2,
09.48.41.531235,sb2,words,2,
09.48.41.560313,sb2,words,2,
09.48.41.598515,sb2,words,2,
09.48.41.639364,sb2,words,2,
09.48.41.672103,sb2,words,2,
09.48.41.720922,sb2,words,2,
09.48.41.747996,sb2,words,2,
09.48.41.793578,sb2,words,2,
09.48.41.824619,sb2,words,2,
09.48.41.859673,sb2,words,2,
09.48.41.906868,sb2,words,2,
09.48.41.934251,sb2,words,2,
09.48.41.969706,sb2,words,2,
09.48.42.011843,sb2,words,2,
09.48.42.048758,sb2,words,2,
09.48.42.095981,sb2,words,2,
09.48.42.121089,sb2,words,2,
09.48.42.156462,sb2,words,2,
09.48.42.201134,sb2,words,2,
09.48.42.234873,sb2,words,2,
09.48.42.284507,sb2,words,2,
09.48.42.309596,sb2,words,2,
09.48.42.345950,sb2,words,2,
09.48.42.389573,sb2,words,2,
09.48.42.422321,sb2,words,2,
09.48.42.468026,sb2,words,2,
09.48.42.489801,sb2,words,2,
09.48.42.531627,sb2,words,2,
09.48.42.577310,sb2,words,2,
09.48.42.611746,sb2,words,2,
09.48.42.658458,sb2,words,2,
09.48.42.685516,sb2,words,2,
09.48.42.723293,sb2,words,2,
09.48.42.753282,sb2,words,2,
09.48.42.800052,sb2,words,2,
09.48.42.825654,sb2,words,2,
09.48.42.864037,sb2,words,2,
09.48.42.909982,sb2,words,2,
09.48.42.939419,sb2,words,2,
09.48.42.982534,sb2,words,2,
09.48.43.011924,sb2,words,2,
09.48.43.059197,sb2,words,2,
09.48.43.096363,sb2,words,2,
09.48.43.127192,sb2,words,2,
09.48.43.172278,sb2,words,2,
09.48.43.200615,sb2,words,2,
09.48.43.246023,sb2,words,2,
09.48.43.283512,sb2,words,2,
09.48.43.309595,sb2,words,2,
09.48.43.361695,sb2,words,2,
09.48.43.388767,sb2,words,2,
09.48.43.428881,sb2,words,2,
09.48.43.472991,sb2,words,2,
09.48.43.501109,sb2,words,2,
09.48.43.547231,sb2,words,2,
09.48.43.575591,sb2,words,2,
09.48.43.610402,sb2,words,2,
09.48.43.660834,sb2,words,2,
09.48.43.686208,sb2,words,2,
09.48.58.376948,sb2,letters,P R O O _ _,
09.49.01.679350,sb2,letters,P R O O F _,
09.49.04.761844,sb2,letters,P R O O F S,
09.52.13.650562,sb2,login,
09.52.25.243374,sb2,letters,F _ _ T I L E,
09.52.28.237868,sb2,letters,F E _ T I L E,
09.53.42.743347,sb2,login,
09.53.54.221547,sb2,letters,F _ A D,
09.54.02.573804,sb2,letters,F R A D,
10.02.41.971941,sb2,login,
10.05.55.731220,sb2,login,
10.06.04.821543,sb2,letters,G U I L T,
10.14.21.812281,sb2,login,
10.19.57.621021,sb2,login,
10.21.55.214688,sb2,login,
10.27.19.365137,sb2,login,
