02.03.52.575954 PL20 login 
02.04.42.020289 PL20 words 1 
02.04.42.411331 PL20 words 1 
02.04.42.629447 PL20 words 1 
02.04.42.834161 PL20 words 1 
02.04.43.020790 PL20 words 1 
02.04.43.207437 PL20 words 1 
02.04.43.410865 PL20 words 1 
02.04.43.611971 PL20 words 1 
02.04.43.816832 PL20 words 1 
02.04.44.019837 PL20 words 1 
02.04.44.223101 PL20 words 1 
02.04.44.442544 PL20 words 1 
02.04.44.646424 PL20 words 1 
02.04.44.868473 PL20 words 1 
02.04.45.118785 PL20 words 1 
02.04.45.348123 PL20 words 1 
02.04.45.554826 PL20 words 1 
02.04.45.768089 PL20 words 1 
02.04.45.993764 PL20 words 1 
02.04.46.254486 PL20 words 1 
02.04.46.473164 PL20 words 1 
02.04.46.784646 PL20 words 1 
02.04.47.082741 PL20 words 1 
02.04.47.333578 PL20 words 1 
02.04.47.583512 PL20 words 1 
02.04.47.806661 PL20 words 1 
02.04.48.036948 PL20 words 1 
02.04.48.284773 PL20 words 1 
02.04.48.519708 PL20 words 1 
02.04.48.706641 PL20 words 1 
02.04.48.912261 PL20 words 2 
02.04.49.117812 PL20 words 2 
02.04.49.305967 PL20 words 2 
02.04.49.494148 PL20 words 2 
02.04.49.659529 PL20 words 2 
02.04.49.848444 PL20 words 2 
02.04.50.055089 PL20 words 2 
02.04.50.222452 PL20 words 2 
02.04.50.410997 PL20 words 2 
02.04.50.619920 PL20 words 2 
02.04.50.805856 PL20 words 2 
02.04.51.036334 PL20 words 2 
02.04.51.305200 PL20 words 2 
02.04.51.567322 PL20 words 2 
02.04.51.805186 PL20 words 2 
02.04.52.037370 PL20 words 2 
02.04.52.270875 PL20 words 2 
02.04.52.566157 PL20 words 2 
02.04.52.784964 PL20 words 2 
02.04.53.055668 PL20 words 2 
02.04.53.286187 PL20 words 2 
02.04.53.535851 PL20 words 2 
02.04.53.768470 PL20 words 2 
02.04.54.019807 PL20 words 2 
02.04.54.243200 PL20 words 2 
02.04.54.492621 PL20 words 2 
02.04.54.708474 PL20 words 2 
02.04.54.958771 PL20 words 2 
02.04.55.223005 PL20 words 2 
02.04.55.457420 PL20 words 2 
02.04.55.682122 PL20 words 2 
02.04.55.930300 PL20 words 2 
02.04.56.144287 PL20 words 2 
02.04.56.379470 PL20 words 2 
02.04.56.597809 PL20 words 2 
02.04.56.847855 PL20 words 2 
02.04.57.098001 PL20 words 2 
02.04.57.348130 PL20 words 2 
02.04.57.582696 PL20 words 2 
02.04.57.833754 PL20 words 2 
02.04.58.083734 PL20 words 2 
02.04.58.333727 PL20 words 2 
02.04.58.565972 PL20 words 2 
02.04.58.804066 PL20 words 2 
02.04.59.056066 PL20 words 2 
02.04.59.305131 PL20 words 2 
02.04.59.504387 PL20 words 2 
02.04.59.744405 PL20 words 2 
02.04.59.942813 PL20 words 2 
02.05.00.243378 PL20 words 2 
02.05.00.457638 PL20 words 2 
02.05.00.681636 PL20 words 2 
02.05.00.912131 PL20 words 2 
02.05.01.159812 PL20 words 2 
02.05.01.394630 PL20 words 2 
02.05.01.644404 PL20 words 2 
02.05.01.893416 PL20 words 2 
02.05.02.181159 PL20 words 2 
02.05.02.431115 PL20 words 2 
02.05.02.645035 PL20 words 2 
02.05.02.878654 PL20 words 2 
02.05.03.144666 PL20 words 2 
02.05.03.409787 PL20 words 2 
02.05.03.708468 PL20 words 2 
02.05.03.957423 PL20 words 2 
02.05.04.208499 PL20 words 2 
02.05.04.429537 PL20 words 2 
02.05.04.660421 PL20 words 2 
02.05.04.894586 PL20 words 2 
02.05.05.161451 PL20 words 2 
02.05.05.411150 PL20 words 2 
02.05.05.680047 PL20 words 2 
02.05.05.941497 PL20 words 2 
02.05.06.144503 PL20 words 2 
02.05.06.410999 PL20 words 2 
02.05.06.628132 PL20 words 2 
02.05.06.867342 PL20 words 2 
02.05.07.097320 PL20 words 2 
02.05.07.347535 PL20 words 1 
02.05.07.618141 PL20 words 1 
02.05.07.848322 PL20 words 1 
02.05.08.067123 PL20 words 1 
02.05.08.306879 PL20 words 1 
02.05.08.505283 PL20 words 1 
02.05.08.723054 PL20 words 1 
02.05.08.941642 PL20 words 1 
02.05.09.192058 PL20 words 1 
02.05.09.430696 PL20 words 1 
02.05.09.681753 PL20 words 1 
02.05.09.910213 PL20 words 1 
02.05.10.117942 PL20 words 1 
02.05.10.333260 PL20 words 1 
02.05.10.567008 PL20 words 1 
02.05.10.785030 PL20 words 1 
02.05.10.992248 PL20 words 1 
02.05.11.223308 PL20 words 1 
02.05.11.441978 PL20 words 1 
02.05.11.644201 PL20 words 1 
02.05.11.894881 PL20 words 1 
02.05.12.146923 PL20 words 1 
02.05.12.367912 PL20 words 1 
02.05.12.598399 PL20 words 1 
02.05.12.806132 PL20 words 1 
02.05.13.020836 PL20 words 1 
02.05.13.253425 PL20 words 1 
02.05.13.457240 PL20 words 1 
02.05.13.680551 PL20 words 1 
02.05.13.893206 PL20 words 1 
02.05.14.144755 PL20 words 1 
02.05.14.379315 PL20 words 1 
02.05.14.619674 PL20 words 1 
02.05.14.834258 PL20 words 1 
02.05.15.084526 PL20 words 1 
02.05.15.305957 PL20 words 1 
02.05.15.555574 PL20 words 1 
02.05.15.833613 PL20 words 1 
02.05.16.056163 PL20 words 1 
02.05.16.409841 PL20 words 2 
02.05.16.644454 PL20 words 2 
02.05.16.832542 PL20 words 2 
02.05.17.056251 PL20 words 2 
02.05.17.241467 PL20 words 2 
02.05.17.474045 PL20 words 2 
02.05.17.680487 PL20 words 2 
02.05.17.895525 PL20 words 2 
02.05.18.129740 PL20 words 2 
02.05.18.332312 PL20 words 2 
