02.55.41.020825,PL21,login,
02.55.50.788913,PL21,words ,1,
02.55.51.011853,PL21,words ,1,
02.55.51.232087,PL21,words ,1,
02.55.51.444823,PL21,words ,1,
02.55.51.669736,PL21,words ,1,
02.55.51.899071,PL21,words ,1,
02.55.52.136577,PL21,words ,1,
02.55.52.354837,PL21,words ,1,
02.55.52.544577,PL21,words ,1,
02.55.52.758973,PL21,words ,1,
02.55.52.960543,PL21,words ,1,
02.55.53.148741,PL21,words ,1,
02.55.53.385132,PL21,words ,1,
02.55.53.601422,PL21,words ,1,
02.55.53.805078,PL21,words ,1,
02.55.54.013277,PL21,words ,1,
02.55.54.199667,PL21,words ,1,
02.55.54.368008,PL21,words ,1,
02.55.54.540440,PL21,words ,1,
02.55.54.711669,PL21,words ,1,
02.55.55.043402,PL21,words ,2,
02.55.55.242010,PL21,words ,2,
02.55.55.399562,PL21,words ,2,
02.55.55.557747,PL21,words ,2,
02.55.55.701689,PL21,words ,2,
02.55.55.837241,PL21,words ,2,
02.55.56.014167,PL21,words ,2,
02.55.56.181580,PL21,words ,2,
02.55.56.369530,PL21,words ,2,
02.55.56.549485,PL21,words ,2,
02.55.56.696497,PL21,words ,2,
02.55.56.867018,PL21,words ,2,
02.55.57.055759,PL21,words ,2,
02.55.57.244505,PL21,words ,2,
02.55.57.418667,PL21,words ,2,
02.55.57.604963,PL21,words ,2,
02.55.57.794926,PL21,words ,2,
02.55.57.961896,PL21,words ,2,
02.55.58.171005,PL21,words ,2,
02.55.58.368121,PL21,words ,2,
02.55.58.569752,PL21,words ,2,
02.55.58.775061,PL21,words ,2,
02.55.58.992584,PL21,words ,2,
02.55.59.228102,PL21,words ,2,
02.55.59.387355,PL21,words ,2,
02.55.59.555369,PL21,words ,2,
02.55.59.762402,PL21,words ,2,
02.55.59.992476,PL21,words ,2,
02.56.00.148057,PL21,words ,2,
02.56.00.387285,PL21,words ,2,
02.56.00.587179,PL21,words ,2,
02.56.00.806024,PL21,words ,2,
02.56.01.024083,PL21,words ,2,
02.56.01.263283,PL21,words ,2,
02.56.01.476595,PL21,words ,2,
02.56.01.680106,PL21,words ,2,
02.56.01.888184,PL21,words,2,
02.56.02.085967,PL21,words,2,
02.56.02.294729,PL21,words,2,
02.56.02.482029,PL21,words,2,
02.56.02.649449,PL21,words,2,
02.56.02.854964,PL21,words,2,
02.56.03.042344,PL21,words,2,
02.56.03.244297,PL21,words,2,
02.56.03.399695,PL21,words,2,
02.56.03.575889,PL21,words,2,
02.56.03.764809,PL21,words,2,
02.56.03.930292,PL21,words,2,
02.56.04.101451,PL21,words,2,
02.56.04.273635,PL21,words,2,
02.56.04.460638,PL21,words,1,
02.56.04.701279,PL21,words,1,
02.56.04.916289,PL21,words,1,
02.56.05.106705,PL21,words,1,
02.56.05.318955,PL21,words,1,
02.56.05.544170,PL21,words,1,
02.56.05.764798,PL21,words,1,
02.56.05.977059,PL21,words,1,
02.56.06.180416,PL21,words,1,
02.56.06.399774,PL21,words,1,
02.56.06.606626,PL21,words,1,
02.56.06.805043,PL21,words,1,
02.56.07.009605,PL21,words,1,
02.56.07.229804,PL21,words,1,
02.56.07.419460,PL21,words,1,
02.56.07.606006,PL21,words,1,
02.56.07.793991,PL21,words,1,
02.56.07.961461,PL21,words,1,
02.56.08.149701,PL21,words,1,
02.56.08.295017,PL21,words,1,
02.56.08.492042,PL21,words,1,
02.56.08.669728,PL21,words,2,
02.56.08.857910,PL21,words,2,
02.56.09.023453,PL21,words,2,
02.56.09.166026,PL21,words,2,
02.56.09.352994,PL21,words,2,
02.56.09.482304,PL21,words,2,
02.56.09.601962,PL21,words,2,
02.56.10.117233,PL21,words,2,
02.56.10.169482,PL21,words,2,
02.56.10.195959,PL21,words,2,
02.56.10.232559,PL21,words,2,
02.56.10.275293,PL21,words,2,
02.56.10.304792,PL21,words,2,
02.56.10.359554,PL21,words,2,
02.56.10.384801,PL21,words,2,
02.56.10.420054,PL21,words,2,
02.56.10.462063,PL21,words,2,
02.56.10.493220,PL21,words,2,
02.56.10.543974,PL21,words,2,
02.56.10.572015,PL21,words,2,
02.56.10.602856,PL21,words,2,
02.56.10.638685,PL21,words,2,
02.56.10.680690,PL21,words,2,
02.56.10.730819,PL21,words,2,
02.56.10.757877,PL21,words,2,
02.56.10.795936,PL21,words,2,
02.56.10.825788,PL21,words,2,
02.56.10.867616,PL21,words,2,
02.56.10.900245,PL21,words,2,
02.56.10.944994,PL21,words,2,
02.56.10.982549,PL21,words,2,
02.56.11.015418,PL21,words,2,
02.56.11.054991,PL21,words,2,
02.56.11.086621,PL21,words,2,
02.56.11.134106,PL21,words,2,
02.56.11.167860,PL21,words,2,
02.56.11.202972,PL21,words,2,
02.56.11.244856,PL21,words,2,
02.56.11.274768,PL21,words,2,
02.56.11.322520,PL21,words,2,
02.56.11.357470,PL21,words,2,
02.56.11.387325,PL21,words,2,
02.56.11.430638,PL21,words,2,
02.56.11.463979,PL21,words,2,
02.56.11.495335,PL21,words,2,
