10.37.03.519047,PL900,login,
10.37.09.010245,PL900,words ,1,
10.37.09.533215,PL900,words ,1,
10.37.09.573761,PL900,words ,1,
10.37.09.620104,PL900,words ,1,
10.37.09.654650,PL900,words ,1,
10.37.09.687255,PL900,words ,1,
10.37.09.716898,PL900,words ,1,
10.37.09.760600,PL900,words ,1,
10.37.09.790622,PL900,words ,1,
10.37.09.839766,PL900,words ,1,
10.37.09.869890,PL900,words ,1,
10.37.09.903871,PL900,words ,1,
10.37.09.947430,PL900,words ,1,
10.37.10.247582,PL900,words ,1,
10.37.10.448570,PL900,words ,1,
10.37.10.635364,PL900,words ,1,
10.37.10.837506,PL900,words ,1,
10.37.11.030198,PL900,words ,1,
10.37.11.247614,PL900,words ,1,
10.37.11.478257,PL900,words ,1,
10.37.11.669847,PL900,words ,1,
10.37.11.905124,PL900,words ,1,
10.37.12.060826,PL900,words ,1,
10.37.12.261597,PL900,words ,1,
10.37.12.479756,PL900,words ,1,
10.37.12.667132,PL900,words ,1,
10.37.12.868944,PL900,words ,1,
10.37.13.030118,PL900,words ,1,
10.37.13.215396,PL900,words ,1,
10.37.13.404148,PL900,words ,1,
10.37.13.588098,PL900,words ,1,
10.37.13.728810,PL900,words ,1,
10.37.13.917668,PL900,words ,1,
10.37.14.229491,PL900,words ,2,
10.37.14.750717,PL900,words ,2,
10.37.14.792823,PL900,words ,2,
10.37.14.838672,PL900,words ,2,
10.37.14.874649,PL900,words ,2,
10.37.14.902836,PL900,words ,2,
10.37.14.948987,PL900,words ,2,
10.37.14.979282,PL900,words ,2,
10.37.15.033064,PL900,words ,2,
10.37.15.062845,PL900,words ,2,
10.37.15.089282,PL900,words ,2,
10.37.15.135227,PL900,words ,2,
10.37.15.168136,PL900,words ,2,
10.37.15.197952,PL900,words ,2,
10.37.15.248193,PL900,words ,2,
10.37.15.281577,PL900,words ,2,
10.37.15.316671,PL900,words ,2,
10.37.15.355775,PL900,words ,2,
10.37.15.385902,PL900,words ,2,
10.37.15.436036,PL900,words ,2,
10.37.15.463093,PL900,words ,2,
10.37.15.497184,PL900,words ,2,
10.37.15.542977,PL900,words ,2,
10.37.15.573523,PL900,words,2,
10.37.15.619799,PL900,words,2,
10.37.15.653132,PL900,words,2,
10.37.15.683821,PL900,words,2,
10.37.15.729219,PL900,words,2,
10.37.15.761101,PL900,words,2,
10.37.15.812468,PL900,words,2,
10.37.15.848034,PL900,words,2,
10.37.15.869331,PL900,words,2,
10.37.15.917490,PL900,words,2,
10.37.15.949802,PL900,words,2,
10.37.15.980064,PL900,words,2,
10.37.16.031807,PL900,words,2,
10.37.16.062518,PL900,words,2,
10.37.16.105241,PL900,words,2,
10.37.16.136322,PL900,words,2,
10.37.16.167888,PL900,words,2,
10.37.16.219433,PL900,words,2,
10.37.16.250277,PL900,words,2,
10.37.16.282735,PL900,words,2,
10.37.16.652684,PL900,words,2,
10.37.16.870386,PL900,words,2,
10.37.17.012776,PL900,words,2,
10.37.17.249535,PL900,words,2,
10.37.17.448596,PL900,words,2,
10.37.17.619191,PL900,words,2,
10.37.17.846839,PL900,words,2,
10.37.18.031344,PL900,words,2,
10.37.18.215341,PL900,words,2,
10.37.18.403290,PL900,words,2,
10.37.18.604596,PL900,words,2,
10.37.18.813467,PL900,words,2,
10.37.19.010740,PL900,words,2,
10.37.19.215164,PL900,words,2,
10.37.19.386152,PL900,words,2,
10.37.19.604953,PL900,words,2,
10.37.19.760612,PL900,words,2,
10.37.19.948644,PL900,words,2,
10.37.20.153124,PL900,words,2,
10.37.20.349077,PL900,words,2,
10.37.20.563617,PL900,words,2,
10.37.20.792750,PL900,words,2,
10.37.21.000594,PL900,words,2,
10.37.21.228997,PL900,words,2,
10.37.21.435581,PL900,words,2,
10.37.21.651400,PL900,words,2,
10.37.21.813351,PL900,words,2,
10.37.22.040493,PL900,words,2,
10.37.22.250428,PL900,words,2,
10.37.22.448958,PL900,words,2,
10.37.22.637325,PL900,words,2,
10.37.22.845354,PL900,words,2,
10.37.23.013395,PL900,words,2,
10.37.23.198179,PL900,words,2,
10.37.23.401017,PL900,words,2,
10.37.23.598141,PL900,words,2,
10.37.23.781368,PL900,words,2,
10.37.23.980208,PL900,words,2,
10.37.24.185240,PL900,words,2,
10.37.24.496760,PL900,words,1,
10.37.24.749084,PL900,words,1,
10.37.24.978955,PL900,words,1,
10.37.25.260881,PL900,words,1,
10.37.25.499891,PL900,words,1,
10.37.25.749753,PL900,words,1,
10.37.25.997543,PL900,words,1,
10.37.26.247588,PL900,words,1,
10.37.26.480817,PL900,words,1,
10.37.26.750238,PL900,words,1,
10.37.26.995027,PL900,words,1,
10.37.27.314271,PL900,words,1,
10.37.27.563161,PL900,words,1,
10.37.27.747671,PL900,words,1,
10.37.28.010831,PL900,words,1,
10.37.28.281769,PL900,words,1,
10.37.28.513059,PL900,words,1,
10.37.28.746658,PL900,words,1,
10.37.28.995475,PL900,words,1,
10.37.29.250170,PL900,words,1,
10.37.29.467556,PL900,words,1,
10.37.29.713491,PL900,words,1,
10.37.29.963730,PL900,words,1,
10.37.30.166696,PL900,words,1,
10.37.30.374220,PL900,words,1,
10.37.30.729438,PL900,words,2,
10.37.31.010386,PL900,words,2,
10.37.31.261417,PL900,words,2,
10.37.31.528417,PL900,words,2,
10.37.31.780977,PL900,words,2,
10.37.32.062835,PL900,words,2,
10.37.32.344913,PL900,words,2,
10.37.32.651917,PL900,words,2,
10.37.32.948569,PL900,words,2,
10.37.33.261332,PL900,words,2,
10.37.33.498490,PL900,words,2,
10.37.33.781881,PL900,words,2,
10.37.34.042450,PL900,words,2,
10.37.34.346293,PL900,words,2,
10.37.34.698731,PL900,words,2,
10.37.34.933376,PL900,words,2,
10.37.35.216373,PL900,words,2,
10.37.35.532867,PL900,words,2,
10.37.35.792720,PL900,words,2,
10.37.36.138216,PL900,words,2,
10.37.36.683488,PL900,words,2,
10.37.36.979690,PL900,words,2,
10.37.37.246022,PL900,words,2,
10.37.37.544500,PL900,words,2,
10.37.37.845929,PL900,words,2,
10.37.38.378442,PL900,words,2,
10.37.38.715957,PL900,words,2,
10.37.39.073708,PL900,words,2,
10.37.39.406324,PL900,words,2,
10.37.39.793614,PL900,words,2,
10.37.40.095206,PL900,words,2,
10.37.40.386834,PL900,words,2,
10.37.40.660114,PL900,words,2,
10.37.40.999635,PL900,words,2,
10.37.41.264019,PL900,words,2,
10.37.41.499012,PL900,words,2,
10.37.41.811919,PL900,words,2,
10.37.42.125160,PL900,words,2,
10.37.42.561195,PL900,words,2,
10.37.42.855976,PL900,words,2,
10.37.43.123358,PL900,words,2,
10.37.43.322623,PL900,words,2,
10.37.43.594117,PL900,words,1,
10.37.43.823015,PL900,words,1,
10.37.44.031619,PL900,words,1,
10.37.44.248969,PL900,words,1,
10.37.44.480786,PL900,words,1,
10.37.44.688786,PL900,words,1,
10.37.44.936729,PL900,words,1,
10.37.45.182716,PL900,words,1,
10.37.45.448034,PL900,words,1,
10.37.45.682790,PL900,words,1,
10.37.45.877203,PL900,words,1,
10.37.46.126617,PL900,words,1,
10.37.46.343833,PL900,words,1,
10.37.46.564949,PL900,words,1,
10.37.46.794255,PL900,words,1,
10.37.47.125664,PL900,words,1,
10.37.47.447868,PL900,words,1,
10.37.47.781349,PL900,words,1,
10.37.48.011405,PL900,words,1,
10.37.48.229446,PL900,words,1,
10.37.48.438486,PL900,words,1,
10.37.48.635955,PL900,words,1,
10.37.48.876819,PL900,words,1,
10.37.49.563575,PL900,words,2,
10.37.49.748131,PL900,words,2,
10.37.49.916937,PL900,words,2,
10.37.50.094154,PL900,words,2,
10.37.50.261585,PL900,words,2,
10.37.50.465005,PL900,words,2,
10.37.50.668365,PL900,words,2,
10.37.50.907210,PL900,words,2,
10.37.51.105011,PL900,words,2,
10.37.51.323335,PL900,words,2,
10.37.51.543388,PL900,words,2,
10.37.51.747637,PL900,words,2,
10.37.51.938000,PL900,words,2,
10.37.52.168551,PL900,words,2,
10.37.52.376932,PL900,words,2,
10.37.52.604206,PL900,words,2,
10.37.52.814267,PL900,words,2,
10.37.53.012579,PL900,words,2,
10.37.53.247569,PL900,words,2,
10.37.53.447819,PL900,words,2,
10.37.53.659124,PL900,words,2,
10.37.53.911126,PL900,words,2,
10.37.54.125650,PL900,words,2,
10.37.54.341743,PL900,words,2,
10.37.54.793992,PL900,words,2,
10.37.54.980152,PL900,words,2,
10.37.55.198399,PL900,words,2,
10.37.55.408992,PL900,words,2,
10.37.55.626062,PL900,words,2,
10.37.55.843555,PL900,words,2,
10.37.56.064467,PL900,words,2,
10.37.56.262029,PL900,words,2,
10.37.56.479167,PL900,words,2,
10.37.56.688770,PL900,words,2,
10.37.56.918265,PL900,words,2,
10.37.57.158328,PL900,words,2,
10.37.57.375443,PL900,words,2,
10.37.57.591193,PL900,words,2,
10.37.57.854868,PL900,words,2,
10.37.58.029311,PL900,words,2,
10.37.58.245996,PL900,words,2,
10.37.58.480589,PL900,words,2,
10.37.58.668088,PL900,words,2,
10.37.58.907714,PL900,words,2,
10.37.59.126307,PL900,words,2,
10.37.59.354914,PL900,words,2,
10.37.59.590562,PL900,words,2,
10.37.59.824185,PL900,words,2,
10.38.00.062259,PL900,words,2,
10.38.00.279503,PL900,words,2,
10.38.00.480967,PL900,words,2,
10.38.00.762384,PL900,words,1,
10.38.01.042966,PL900,words,1,
10.38.01.261935,PL900,words,1,
10.38.01.496409,PL900,words,1,
10.38.01.722185,PL900,words,1,
10.38.01.949084,PL900,words,1,
10.38.02.168869,PL900,words,1,
10.38.02.386519,PL900,words,1,
10.38.02.596264,PL900,words,1,
10.38.02.874948,PL900,words,1,
10.38.03.089339,PL900,words,1,
10.38.03.323088,PL900,words,1,
10.38.03.529231,PL900,words,1,
10.38.03.795011,PL900,words,1,
10.38.03.995583,PL900,words,1,
10.38.04.223977,PL900,words,1,
10.38.04.474103,PL900,words,1,
10.38.04.689079,PL900,words,1,
10.38.04.908189,PL900,words,1,
10.38.05.124590,PL900,words,1,
10.38.05.355005,PL900,words,1,
10.38.05.590683,PL900,words,1,
10.38.05.762270,PL900,words,1,
10.38.06.028754,PL900,words,2,
10.38.06.261369,PL900,words,2,
10.38.06.448878,PL900,words,2,
10.38.06.688767,PL900,words,2,
10.38.06.937602,PL900,words,2,
10.38.07.213576,PL900,words,2,
10.38.07.463357,PL900,words,2,
10.38.07.698806,PL900,words,2,
10.38.07.974911,PL900,words,2,
10.38.08.224915,PL900,words,2,
10.38.08.494821,PL900,words,2,
10.38.08.745177,PL900,words,2,
10.38.09.027490,PL900,words,2,
10.38.09.261432,PL900,words,2,
10.38.09.528466,PL900,words,2,
10.38.09.777762,PL900,words,2,
10.38.10.027963,PL900,words,2,
10.38.10.293107,PL900,words,2,
10.38.10.546025,PL900,words,2,
10.38.10.810634,PL900,words,2,
10.38.11.060573,PL900,words,2,
10.38.11.292583,PL900,words,2,
10.38.11.542446,PL900,words,2,
10.38.11.762018,PL900,words,2,
10.38.11.999900,PL900,words,2,
10.38.12.260920,PL900,words,2,
10.38.12.500115,PL900,words,2,
10.38.12.744280,PL900,words,2,
10.38.13.000812,PL900,words,2,
10.38.13.250599,PL900,words,2,
10.38.13.494756,PL900,words,1,
10.38.13.823772,PL900,words,1,
10.38.14.062713,PL900,words,1,
10.38.14.339841,PL900,words,1,
10.38.14.656610,PL900,words,1,
10.38.14.940576,PL900,words,1,
10.38.15.222064,PL900,words,1,
10.38.15.473722,PL900,words,1,
10.38.15.778433,PL900,words,1,
10.38.16.060321,PL900,words,1,
10.38.16.323757,PL900,words,1,
10.38.16.622876,PL900,words,1,
10.38.16.907354,PL900,words,1,
10.38.17.188044,PL900,words,1,
10.38.17.417376,PL900,words,1,
10.38.17.698998,PL900,words,1,
10.38.17.939106,PL900,words,1,
10.38.18.190783,PL900,words,1,
10.38.18.438887,PL900,words,1,
10.38.18.723477,PL900,words,1,
10.38.18.979874,PL900,words,1,
10.38.19.230270,PL900,words,1,
10.38.19.471616,PL900,words,1,
10.38.19.698272,PL900,words,2,
10.38.19.971780,PL900,words,2,
10.38.20.198547,PL900,words,2,
10.38.20.471488,PL900,words,2,
10.38.30.224742,PL900,letters,F E E _,
10.38.30.442154,PL900,letters,F E E L,
10.38.32.217798,PL900,letters,P R O O _ _,
10.38.32.471393,PL900,letters,P R O O F _,
10.38.32.714594,PL900,letters,P R O O F S,
10.38.33.849387,PL900,letters,G U I L T,
10.38.35.403373,PL900,letters,F _ A D,
10.38.35.664459,PL900,letters,F L A D,
10.38.36.857130,PL900,letters,F _ _ T I L E,
10.38.37.051893,PL900,letters,F E _ T I L E,
10.38.37.251309,PL900,letters,F E R T I L E,
10.38.38.263141,PL900,letters,M E R _ Y,
10.38.38.477588,PL900,letters,M E R R Y,
10.38.40.444191,PL900,letters,G _ A R _ D,
10.38.40.641820,PL900,letters,G L A R _ D,
10.38.41.015416,PL900,letters,G L A R E D,
10.38.41.888907,PL900,letters,S M A _ _,
10.38.42.064731,PL900,letters,S M A L _,
10.38.42.237925,PL900,letters,S M A L L,
10.38.43.774270,PL900,letters,F _ _ _ O U S,
10.38.43.945805,PL900,letters,F U _ _ O U S,
10.38.44.092322,PL900,letters,F U R _ O U S,
10.38.44.219094,PL900,letters,F U R I O U S,
10.38.45.491171,PL900,letters,E X H _ _ _,
10.38.45.606146,PL900,letters,E X H A _ _,
10.38.45.789959,PL900,letters,E X H A L _,
10.38.45.939135,PL900,letters,E X H A L E,
10.38.46.893674,PL900,letters,S _ N S E,
10.38.47.071560,PL900,letters,S E N S E,
10.38.48.189920,PL900,letters,J O Y,
10.38.49.154221,PL900,letters,R _ S E T,
10.38.49.348366,PL900,letters,R E S E T,
10.38.50.874293,PL900,letters,G _ E E,
10.38.50.990576,PL900,letters,G L E E,
10.38.52.165781,PL900,letters,D I S Q _ _ _ _,
10.38.52.498598,PL900,letters,D I S Q U _ _ _,
10.38.52.721353,PL900,letters,D I S Q U I _ _,
10.38.52.837556,PL900,letters,D I S Q U I E _,
10.38.53.031652,PL900,letters,D I S Q U I E T,
10.38.54.119304,PL900,letters,H _ P P Y,
10.38.54.240293,PL900,letters,H A P P Y,
10.38.55.253924,PL900,letters,A F R _ _ D,
10.38.55.502543,PL900,letters,A F R A _ D,
10.38.55.598277,PL900,letters,A F R A I D,
10.38.56.520491,PL900,letters,C H A _ R,
10.38.56.970719,PL900,letters,C H A I R,
