03.04.10.061036,SB11,login,
03.04.23.576028,SB11,words ,1,
03.04.23.900705,SB11,words ,1,
03.04.24.107384,SB11,words ,1,
03.04.24.633601,SB11,words ,1,
03.04.24.670051,SB11,words ,1,
03.04.24.703429,SB11,words ,1,
03.04.24.749378,SB11,words ,1,
03.04.24.792711,SB11,words ,1,
03.04.24.821251,SB11,words ,1,
03.04.24.859489,SB11,words ,1,
03.04.24.899385,SB11,words ,1,
03.04.24.931108,SB11,words ,1,
03.04.24.981701,SB11,words ,1,
03.04.25.009261,SB11,words ,1,
03.04.25.041972,SB11,words ,1,
03.04.25.076183,SB11,words ,1,
03.04.25.124536,SB11,words ,1,
03.04.25.169408,SB11,words ,1,
03.04.25.196479,SB11,words ,1,
03.04.25.229747,SB11,words ,1,
03.04.25.262606,SB11,words ,1,
03.04.25.311142,SB11,words ,1,
03.04.25.337568,SB11,words ,1,
03.04.25.384042,SB11,words ,1,
03.04.25.421775,SB11,words ,1,
03.04.25.461951,SB11,words ,1,
03.04.25.493820,SB11,words ,1,
03.04.25.524678,SB11,words ,1,
03.04.25.570009,SB11,words ,1,
03.04.25.605989,SB11,words ,1,
03.04.25.639480,SB11,words ,1,
03.04.25.686850,SB11,words ,1,
03.04.25.712274,SB11,words ,1,
03.04.25.758430,SB11,words ,1,
03.04.25.791361,SB11,words ,1,
03.04.25.826708,SB11,words ,1,
03.04.25.872687,SB11,words ,1,
03.04.25.898168,SB11,words ,1,
03.04.25.946446,SB11,words ,1,
03.04.25.984642,SB11,words ,1,
03.04.26.014018,SB11,words ,1,
03.04.26.061545,SB11,words ,1,
03.04.26.088802,SB11,words ,1,
03.04.26.128244,SB11,words ,1,
03.04.26.171641,SB11,words ,1,
03.04.26.202779,SB11,words ,1,
03.04.26.246531,SB11,words ,1,
03.04.26.274603,SB11,words ,1,
03.04.26.309697,SB11,words ,1,
03.04.26.355819,SB11,words ,1,
03.04.26.388908,SB11,words ,1,
03.04.26.414977,SB11,words ,1,
03.04.26.452075,SB11,words ,1,
03.04.26.492184,SB11,words ,1,
03.04.26.538332,SB11,words ,1,
03.04.26.576718,SB11,words ,1,
03.04.26.602614,SB11,words,1,
03.04.26.650501,SB11,words,1,
03.04.26.682531,SB11,words,1,
03.04.26.712617,SB11,words,1,
03.04.26.761769,SB11,words,1,
03.04.26.790937,SB11,words,1,
03.04.26.838054,SB11,words,1,
03.04.26.873053,SB11,words,1,
03.04.26.899115,SB11,words,1,
03.04.26.951253,SB11,words,1,
03.04.26.976320,SB11,words,1,
03.04.27.012416,SB11,words,1,
03.04.27.046519,SB11,words,1,
03.04.27.085625,SB11,words,1,
03.04.27.138759,SB11,words,1,
03.04.27.164024,SB11,words,1,
03.04.27.199743,SB11,words,1,
03.04.27.252053,SB11,words,1,
03.04.27.431947,SB11,words,2,
03.04.27.961920,SB11,words,2,
03.04.27.993833,SB11,words,2,
03.04.28.044273,SB11,words,2,
03.04.28.079145,SB11,words,2,
03.04.28.122898,SB11,words,2,
03.04.28.149551,SB11,words,2,
03.04.28.181037,SB11,words,2,
03.04.28.233097,SB11,words,2,
03.04.28.258658,SB11,words,2,
03.04.28.291823,SB11,words,2,
03.04.28.327645,SB11,words,2,
03.04.28.378706,SB11,words,2,
03.04.28.420900,SB11,words,2,
03.04.28.453287,SB11,words,2,
03.04.28.478175,SB11,words,2,
03.04.28.524383,SB11,words,2,
03.04.28.556273,SB11,words,2,
03.04.28.606935,SB11,words,2,
03.04.28.639264,SB11,words,2,
03.04.28.664640,SB11,words,2,
03.04.28.705090,SB11,words,2,
03.04.28.743181,SB11,words,2,
03.04.28.775673,SB11,words,2,
03.04.28.819997,SB11,words,2,
03.04.28.852082,SB11,words,2,
03.04.28.900300,SB11,words,2,
03.04.28.928401,SB11,words,2,
03.04.28.964688,SB11,words,2,
03.04.29.010194,SB11,words,2,
03.04.29.039835,SB11,words,2,
03.04.29.078597,SB11,words,2,
03.04.29.117612,SB11,words,2,
03.04.29.149907,SB11,words,2,
03.04.29.201425,SB11,words,2,
03.04.29.227314,SB11,words,2,
03.04.29.258509,SB11,words,2,
03.04.29.294998,SB11,words,2,
03.04.29.338543,SB11,words,2,
03.04.29.369907,SB11,words,2,
03.04.29.418445,SB11,words,2,
03.04.29.446501,SB11,words,2,
03.04.29.493040,SB11,words,2,
03.04.29.523950,SB11,words,2,
03.04.29.555804,SB11,words,2,
03.04.29.605086,SB11,words,2,
03.04.29.634536,SB11,words,2,
03.04.29.685561,SB11,words,2,
03.04.29.710934,SB11,words,2,
03.04.29.744418,SB11,words,2,
03.04.29.792205,SB11,words,2,
03.04.29.822285,SB11,words,2,
03.04.29.859488,SB11,words,2,
03.04.29.899764,SB11,words,2,
03.04.29.930430,SB11,words,2,
03.04.29.978171,SB11,words,2,
03.04.30.013725,SB11,words,2,
03.04.30.044620,SB11,words,2,
03.04.30.090679,SB11,words,2,
03.04.30.117960,SB11,words,2,
03.04.30.151271,SB11,words,2,
03.04.30.187339,SB11,words,2,
03.04.30.235377,SB11,words,2,
03.04.30.260668,SB11,words,2,
03.04.30.298923,SB11,words,2,
03.04.30.338976,SB11,words,2,
03.04.30.374825,SB11,words,2,
03.04.30.423042,SB11,words,2,
03.04.30.461284,SB11,words,2,
03.04.30.494646,SB11,words,2,
03.04.30.524493,SB11,words,2,
03.04.30.561401,SB11,words,2,
03.04.30.606337,SB11,words,2,
03.04.30.632643,SB11,words,2,
03.04.30.681134,SB11,words,2,
03.04.30.712932,SB11,words,2,
03.04.30.749104,SB11,words,2,
03.04.30.795606,SB11,words,2,
03.04.30.822922,SB11,words,2,
03.04.30.859281,SB11,words,2,
03.04.30.900227,SB11,words,2,
03.04.30.936940,SB11,words,2,
03.04.30.982328,SB11,words,2,
03.04.31.008657,SB11,words,2,
03.04.31.044724,SB11,words,2,
03.04.31.087268,SB11,words,2,
03.04.31.117710,SB11,words,2,
03.04.31.167351,SB11,words,2,
03.04.31.198471,SB11,words,2,
03.04.31.229061,SB11,words,2,
03.04.31.276513,SB11,words,2,
03.04.31.312849,SB11,words,2,
03.04.31.359250,SB11,words,2,
03.04.31.383408,SB11,words,2,
03.04.31.420297,SB11,words,2,
03.04.31.454501,SB11,words,2,
03.04.31.499930,SB11,words,2,
03.04.31.543682,SB11,words,2,
03.04.31.571758,SB11,words,2,
03.04.31.608858,SB11,words,2,
03.04.31.638935,SB11,words,2,
03.04.31.685057,SB11,words,2,
03.04.31.711126,SB11,words,2,
03.04.31.759254,SB11,words,2,
03.04.31.791341,SB11,words,2,
03.04.31.825432,SB11,words,2,
03.04.31.873896,SB11,words,2,
03.04.31.899363,SB11,words,2,
03.04.31.946076,SB11,words,2,
03.04.31.979202,SB11,words,2,
03.04.32.012860,SB11,words,2,
03.04.32.061108,SB11,words,2,
03.04.32.089363,SB11,words,2,
03.04.32.123186,SB11,words,2,
03.04.32.168336,SB11,words,2,
03.04.32.201540,SB11,words,2,
03.04.32.247678,SB11,words,2,
03.04.32.276756,SB11,words,2,
03.04.32.308842,SB11,words,2,
03.04.32.358975,SB11,words,2,
03.04.32.384042,SB11,words,2,
03.04.32.436972,SB11,words,2,
03.04.32.461339,SB11,words,2,
03.04.32.492734,SB11,words,2,
03.04.32.539776,SB11,words,2,
03.04.32.578728,SB11,words,2,
03.04.32.623726,SB11,words,2,
03.04.32.649844,SB11,words,2,
03.04.32.688651,SB11,words,2,
03.04.32.733804,SB11,words,2,
03.04.32.763584,SB11,words,2,
03.04.32.791650,SB11,words,2,
03.04.32.829421,SB11,words,2,
03.04.32.869196,SB11,words,2,
03.04.32.904770,SB11,words,2,
03.04.32.953706,SB11,words,2,
03.04.32.978052,SB11,words,2,
03.04.33.014068,SB11,words,2,
03.04.33.055816,SB11,words,2,
03.04.33.089123,SB11,words,2,
03.04.33.140500,SB11,words,2,
03.04.33.167125,SB11,words,2,
03.04.33.213619,SB11,words,2,
03.04.33.243949,SB11,words,2,
03.04.33.275588,SB11,words,2,
03.04.33.328279,SB11,words,2,
03.04.33.353519,SB11,words,2,
03.04.33.384274,SB11,words,2,
03.04.33.422659,SB11,words,2,
03.04.33.463254,SB11,words,2,
03.04.33.514105,SB11,words,2,
03.04.33.542624,SB11,words,2,
03.04.33.576761,SB11,words,2,
03.04.33.608193,SB11,words,2,
03.04.33.651069,SB11,words,2,
03.04.33.682159,SB11,words,2,
03.04.33.728369,SB11,words,2,
03.04.33.760443,SB11,words,2,
03.04.33.794685,SB11,words,2,
03.04.33.839107,SB11,words,2,
03.04.33.868427,SB11,words,2,
03.04.33.915996,SB11,words,2,
03.04.33.948812,SB11,words,2,
03.04.33.980769,SB11,words,2,
03.04.34.025259,SB11,words,2,
03.04.34.057898,SB11,words,2,
03.04.34.102903,SB11,words,2,
03.04.34.133348,SB11,words,2,
03.04.34.172476,SB11,words,2,
03.04.34.212759,SB11,words,2,
03.04.34.245447,SB11,words,2,
03.04.34.276028,SB11,words,2,
03.04.34.321271,SB11,words,2,
03.04.34.357954,SB11,words,2,
03.04.34.400897,SB11,words,2,
03.04.34.430224,SB11,words,2,
03.04.34.465359,SB11,words,2,
03.04.34.508857,SB11,words,2,
03.04.34.545340,SB11,words,2,
03.04.34.591278,SB11,words,2,
03.04.34.620356,SB11,words,2,
03.04.34.649078,SB11,words,2,
03.04.34.687940,SB11,words,2,
03.04.34.733036,SB11,words,2,
03.04.34.761306,SB11,words,2,
03.04.34.806087,SB11,words,2,
03.04.34.836434,SB11,words,2,
03.04.34.874528,SB11,words,2,
03.04.34.922051,SB11,words,2,
03.04.34.947408,SB11,words,2,
03.04.34.985504,SB11,words,2,
03.04.35.024960,SB11,words,2,
03.04.35.061832,SB11,words,2,
03.04.35.109322,SB11,words,2,
03.04.35.134619,SB11,words,2,
03.04.35.172931,SB11,words,2,
03.04.35.211985,SB11,words,2,
03.04.35.249009,SB11,words,2,
03.04.35.293953,SB11,words,2,
03.04.35.323482,SB11,words,2,
03.04.35.359967,SB11,words,2,
03.04.35.399849,SB11,words,2,
03.04.35.435960,SB11,words,2,
03.04.35.484747,SB11,words,2,
03.04.35.512034,SB11,words,2,
03.04.35.545946,SB11,words,2,
03.04.35.578004,SB11,words,2,
03.04.35.625224,SB11,words,2,
03.04.35.670396,SB11,words,2,
03.04.35.697917,SB11,words,2,
03.04.35.733318,SB11,words,2,
03.04.35.765766,SB11,words,2,
03.04.35.812401,SB11,words,2,
03.04.35.839665,SB11,words,2,
03.04.35.884270,SB11,words,2,
03.04.35.922872,SB11,words,2,
03.04.35.952219,SB11,words,2,
03.04.35.998378,SB11,words,2,
03.04.36.027447,SB11,words,2,
03.04.36.071816,SB11,words,2,
03.04.36.107506,SB11,words,2,
03.04.36.140185,SB11,words,2,
03.04.36.187303,SB11,words,2,
03.04.36.214375,SB11,words,2,
03.04.36.250693,SB11,words,2,
03.04.36.297796,SB11,words,2,
03.04.36.328732,SB11,words,2,
03.04.36.374728,SB11,words,2,
03.04.36.400097,SB11,words,2,
03.04.36.447942,SB11,words,2,
03.04.36.484003,SB11,words,2,
03.04.36.509136,SB11,words,2,
03.04.36.561332,SB11,words,2,
03.04.36.587508,SB11,words,2,
03.04.36.620997,SB11,words,2,
03.04.36.672864,SB11,words,2,
03.04.36.702938,SB11,words,2,
03.04.36.750499,SB11,words,2,
03.04.36.774962,SB11,words,2,
03.04.36.806403,SB11,words,2,
03.04.36.859550,SB11,words,2,
