03.20.24.126904,SB2,login,
03.20.37.977859,SB2,words ,1,
03.20.38.508798,SB2,words ,1,
03.20.38.540947,SB2,words ,1,
03.20.38.586888,SB2,words ,1,
03.20.38.616963,SB2,words ,1,
03.20.38.669539,SB2,words ,1,
03.20.38.695819,SB2,words ,1,
03.20.38.727581,SB2,words ,1,
03.20.38.778332,SB2,words ,1,
03.20.38.808613,SB2,words ,1,
03.20.38.837713,SB2,words ,1,
03.20.38.882253,SB2,words ,1,
03.20.38.914173,SB2,words ,1,
03.20.38.966840,SB2,words ,1,
03.20.38.999887,SB2,words ,1,
03.20.39.025328,SB2,words ,1,
03.20.39.072699,SB2,words ,1,
03.20.39.106755,SB2,words ,1,
03.20.39.154978,SB2,words ,1,
03.20.39.184873,SB2,words ,1,
03.20.39.209903,SB2,words ,1,
03.20.39.246145,SB2,words ,1,
03.20.39.290037,SB2,words ,1,
03.20.39.323218,SB2,words ,1,
03.20.39.372463,SB2,words ,1,
03.20.39.399516,SB2,words ,1,
03.20.39.436865,SB2,words ,1,
03.20.39.486376,SB2,words ,1,
03.20.39.507422,SB2,words ,1,
03.20.39.560496,SB2,words ,1,
03.20.39.587741,SB2,words ,1,
03.20.39.619786,SB2,words ,1,
03.20.39.673978,SB2,words ,1,
03.20.39.699422,SB2,words ,1,
03.20.39.742504,SB2,words ,1,
03.20.39.773410,SB2,words ,1,
03.20.39.812467,SB2,words ,1,
03.20.39.853424,SB2,words ,1,
03.20.39.884165,SB2,words ,1,
03.20.39.929770,SB2,words ,1,
03.20.39.961535,SB2,words ,1,
03.20.39.993037,SB2,words ,1,
03.20.40.028910,SB2,words ,1,
03.20.40.072601,SB2,words ,1,
03.20.40.102220,SB2,words ,1,
03.20.40.148097,SB2,words ,1,
03.20.40.179629,SB2,words ,1,
03.20.40.215725,SB2,words ,1,
03.20.40.257943,SB2,words ,1,
03.20.40.289021,SB2,words ,1,
03.20.40.336140,SB2,words ,1,
03.20.40.368206,SB2,words ,1,
03.20.40.401293,SB2,words ,1,
03.20.40.445411,SB2,words ,1,
03.20.40.476496,SB2,words ,1,
03.20.40.509595,SB2,words ,1,
03.20.40.559714,SB2,words,1,
03.20.40.593806,SB2,words,1,
03.20.40.632916,SB2,words,1,
03.20.40.664259,SB2,words,1,
03.20.40.698071,SB2,words,1,
03.20.40.742655,SB2,words,1,
03.20.40.778051,SB2,words,1,
03.20.40.823667,SB2,words,1,
03.20.40.854631,SB2,words,1,
03.20.40.884086,SB2,words,1,
